datum,kraj,disciplina,mesto,zaostanek
29-12-2010,Bormio,Downhill,11,18.34
19-12-2010,Alta Badia,Giant Slalom,6,7.56
18-12-2010,Val Gardena-Groeden,Downhill,26,20.99
17-12-2010,Val Gardena-Groeden,Super G,DNF1,
11-12-2010,Val d'Isere,Giant Slalom,2,6.25
05-12-2010,Beaver Creek,Giant Slalom,5,7.56
04-12-2010,Beaver Creek,Super G,9,7.83
28-11-2010,Lake Louise,Super G,29,20.32
27-11-2010,Lake Louise,Downhill,2,6.79
12-03-2010,Garmisch Partenkirchen,Giant Slalom,DNF1,
11-03-2010,Garmisch Partenkirchen,Super G,3,7.73
10-03-2010,Garmisch Partenkirchen,Downhill,12,8.69
07-03-2010,Kvitfjell,Super G,3,3.57
06-03-2010,Kvitfjell,Downhill,2,5.85
31-01-2010,Kranjska Gora,Slalom,DNF1,
30-01-2010,Kranjska Gora,Giant Slalom,11,11.46
29-01-2010,Kranjska Gora,Giant Slalom,4,5.08
24-01-2010,Kitzbuehel,Combined,DNF1,
24-01-2010,Kitzbuehel,Slalom,DNF1,
23-01-2010,Kitzbuehel,Downhill,5,7.89
22-01-2010,Kitzbuehel,Super G,6,7.07
17-01-2010,Wengen,Slalom,DNF1,
16-01-2010,Wengen,Downhill,15,17.43
15-01-2010,Wengen,Super Combined,8,12.48
29-12-2009,Bormio,Downhill,20,25.67
21-12-2009,Alta Badia,Slalom,22,15.42
20-12-2009,Alta Badia,Giant Slalom,8,14.97
19-12-2009,Val Gardena - Groeden,Downhill,17,13.82
18-12-2009,Val Gardena - Groeden,Super G,1,0.00
13-12-2009,Val d'Isere,Giant Slalom,5,9.88
12-12-2009,Val d'Isere,Super G,7,18.76
11-12-2009,Val d'Isere,Super Combined,9,18.64
06-12-2009,Beaver Creek,Giant Slalom,3,5.48
05-12-2009,Beaver Creek,Downhill,3,0.51
04-12-2009,Beaver Creek,Super Combined,6,5.70
29-11-2009,Lake Louise,Super G,14,13.12
28-11-2009,Lake Louise,Downhill,33,26.33
25-10-2009,Soelden,Giant Slalom,DNF2,
14-03-2009,Are,Slalom,DNF1,
13-03-2009,Are,Giant Slalom,19,12.73
12-03-2009,Are,Super G,2,1.01
11-03-2009,Are,Downhill,1,0.00
07-03-2009,Kvitfjell,Downhill,14,18.34
06-03-2009,Kvitfjell,Downhill,3,4.56
01-03-2009,Kranjska Gora,Slalom,DNQ1,
28-02-2009,Kranjska Gora,Giant Slalom,6,5.09
22-02-2009,Sestriere,Super Combined,11,16.42
21-02-2009,Sestriere,Giant Slalom,8,7.42
01-02-2009,Garmisch Partenkirchen,Slalom,DNF1,
25-01-2009,Kitzbuehel,Slalom,DNQ1,
25-01-2009,Kitzbuehel,Combined,5,
24-01-2009,Kitzbuehel,Downhill,19,19.44
23-01-2009,Kitzbuehel,Super G,2,3.20
18-01-2009,Wengen,Slalom,DNF2,
17-01-2009,Wengen,Downhill,15,16.59
16-01-2009,Wengen,Super Combined,8,9.49
11-01-2009,Adelboden,Slalom,DNQ1,
10-01-2009,Adelboden,Giant Slalom,10,8.62
06-01-2009,Zagreb,Slalom,DNF1,
28-12-2008,Bormio,Downhill,17,21.90
22-12-2008,Alta Badia,Slalom,DNQ1,
21-12-2008,Alta Badia,Giant Slalom,8,4.44
20-12-2008,Val Gardena - Groeden,Downhill,34,37.13
19-12-2008,Val Gardena - Groeden,Super G,28,17.51
13-12-2008,Val d'Isere,Giant Slalom,4,2.84
12-12-2008,Val d'Isere,Super Combined,DNF1,
07-12-2008,Beaver Creek,Giant Slalom,3,0.61
06-12-2008,Beaver Creek,Super G,1,0.00
05-12-2008,Beaver Creek,Downhill,1,0.00
30-11-2008,Lake Louise,Super G,9,12.27
29-11-2008,Lake Louise,Downhill,7,4.79
16-11-2008,Levi,Slalom,DNQ1,
26-10-2008,Soelden,Giant Slalom,13,11.41
25-11-2007,"Lake Louise, AB",Super G,1,0.00
24-11-2007,"Lake Louise, AB",Downhill,17,11.69
11-11-2007,Reiteralm,Slalom,13,9.84
28-10-2007,Soelden,Giant Slalom,1,0.00
18-03-2007,Lenzerheide,Slalom,15,23.48
17-03-2007,Lenzerheide,Giant Slalom,1,0.00
15-03-2007,Lenzerheide,Super G,1,0.00
14-03-2007,Lenzerheide,Downhill,1,0.00
11-03-2007,Kvitfjell,Super G,DNF1,
10-03-2007,Kvitfjell,Downhill,11,12.66
09-03-2007,Kvitfjell,Super Combined,3,11.05
04-03-2007,Kranjska Gora,Slalom,DNF1,
03-03-2007,Kranjska Gora,Giant Slalom,4,3.92
25-02-2007,Garmisch-Partenkirchen,Slalom,20,22.45
24-02-2007,Garmisch-Partenkirchen,Downhill,19,20.46
23-02-2007,Garmisch-Partenkirchen,Downhill,16,15.95
30-01-2007,Schladming,Slalom,13,18.08
28-01-2007,Kitzbuehel,Slalom,16,7.73
27-01-2007,Kitzbuehel,Slalom,13,12.70
20-01-2007,Val d'Isere,Downhill,12,8.58
14-01-2007,Wengen,Super Combined,8,6.90
13-01-2007,Wengen,Downhill,8,16.86
07-01-2007,Adelboden,Slalom,DNF1,
06-01-2007,Adelboden,Giant Slalom,3,6.06
29-12-2006,Bormio,Downhill,6,6.52
28-12-2006,Bormio,Downhill,14,14.72
21-12-2006,Hinterstoder,Giant Slalom,1,0.00
20-12-2006,Hinterstoder,Super G,11,17.57
18-12-2006,Alta Badia,Slalom,20,8.99
17-12-2006,Alta Badia,Giant Slalom,10,7.92
16-12-2006,Gardena/Groeden,Downhill,6,6.02
15-12-2006,Gardena/Groeden,Super G,5,9.81
10-12-2006,Reiteralm,Super Combined,6,12.18
03-12-2006,"Beaver Creek, CO",Slalom,17,16.01
02-12-2006,"Beaver Creek, CO",Giant Slalom,2,0.24
01-12-2006,"Beaver Creek, CO",Downhill,14,19.59
30-11-2006,"Beaver Creek, CO",Super Combined,1,0.00
26-11-2006,"Lake Louise, AB",Super G,19,17.22
25-11-2006,"Lake Louise, AB",Downhill,47,31.34
12-11-2006,Levi,Slalom,20,13.50
18-03-2006,Are,Slalom,7,9.65
17-03-2006,Are,Giant Slalom,DNF1,
16-03-2006,Are,Super G,3,6.34
15-03-2006,Are,Downhill,1,0.00
11-03-2006,Shigakogen,Slalom,8,5.55
10-03-2006,Shigakogen,Slalom,6,5.90
05-03-2006,Yongpyong,Giant Slalom,6,1.00
04-03-2006,Yongpyong,Giant Slalom,3,1.30
03-02-2006,Chamonix,Super Combined,16,
29-01-2006,Garmisch-Partenkirchen,Super G,20,21.60
24-01-2006,Schladming,Slalom,DNF1,
22-01-2006,Kitzbuehel,Slalom,26,16.32
22-01-2006,Kitzbuehel,Combined,3,
21-01-2006,Kitzbuehel,Downhill,34,32.15
20-01-2006,Kitzbuehel,Super G,14,8.48
15-01-2006,Wengen,Slalom,10,12.03
14-01-2006,Wengen,Downhill,14,22.97
13-01-2006,Wengen,Super Combined,9,
08-01-2006,Adelboden,Slalom,DNF1,
07-01-2006,Adelboden,Giant Slalom,25,19.37
22-12-2005,Kranjska Gora,Slalom,18,14.32
21-12-2005,Kranjska Gora,Giant Slalom,19,15.88
18-12-2005,Alta Badia,Giant Slalom,23,14.07
17-12-2005,Gardena/Groeden,Downhill,26,27.90
16-12-2005,Gardena/Groeden,Super G,5,4.75
12-12-2005,Madonna di Campiglio,Slalom,11,11.19
11-12-2005,Val d'Isere,Super Combined,7,
10-12-2005,Val d'Isere,Downhill,19,21.53
04-12-2005,"Beaver Creek, CO",Slalom,9,10.74
03-12-2005,"Beaver Creek, CO",Giant Slalom,5,8.05
02-12-2005,"Beaver Creek, CO",Downhill,24,34.72
01-12-2005,"Beaver Creek, CO",Super G,4,9.10
27-11-2005,"Lake Louise, AB",Super G,1,0.00
26-11-2005,"Lake Louise, AB",Downhill,6,8.37
23-10-2005,Soelden,Giant Slalom,11,8.47
12-03-2005,Lenzerheide,Giant Slalom,22,37.86
11-03-2005,Lenzerheide,Super G,16,13.90
06-03-2005,Kvitfjell,Super G,13,20.89
05-03-2005,Kvitfjell,Downhill,19,17.42
27-02-2005,Kranjska Gora,Slalom,20,10.49
26-02-2005,Kranjska Gora,Giant Slalom,11,11.66
20-02-2005,Garmisch-Partenkirchen,Super G,24,13.97
19-02-2005,Garmisch-Partenkirchen,Downhill,36,38.86
18-02-2005,Garmisch-Partenkirchen,Downhill,DNF1,
25-01-2005,Schladming,Slalom,DNS1,
24-01-2005,Kitzbuehel,Super G,5,8.54
23-01-2005,Kitzbuehel,Slalom,DNF2,
16-01-2005,Wengen,Slalom,DNQ1,
15-01-2005,Wengen,Downhill,20,20.56
14-01-2005,Wengen,Combined,DSQ1,
11-01-2005,Adelboden,Giant Slalom,19,12.57
09-01-2005,Chamonix,Slalom,13,14.16
29-12-2004,Bormio,Downhill,41,41.39
22-12-2004,Flachau,Slalom,27,23.21
21-12-2004,Flachau,Giant Slalom,DNQ2,
19-12-2004,Alta Badia,Giant Slalom,22,19.01
18-12-2004,Gardena/Groeden,Downhill,23,18.98
17-12-2004,Gardena/Groeden,Super G,5,9.33
13-12-2004,Sestriere,Slalom,DNQ1,
12-12-2004,Val d'Isere,Giant Slalom,DNF1,
05-12-2004,"Beaver Creek, CO",Slalom,DSQ2,
04-12-2004,"Beaver Creek, CO",Giant Slalom,4,4.18
03-12-2004,"Beaver Creek, CO",Downhill,7,13.89
02-12-2004,"Beaver Creek, CO",Super G,11,13.88
28-11-2004,"Lake Louise, AB",Super G,16,18.81
27-11-2004,"Lake Louise, AB",Downhill,15,29.80
24-10-2004,Soelden,Giant Slalom,30,22.38
11-03-2004,Sestriere,Super G,15,24.77
07-03-2004,Kvitfjell,Super G,13,8.65
06-03-2004,Kvitfjell,Downhill,29,24.67
29-02-2004,Kranjska Gora,Slalom,DNQ1,
