datum,kraj,disciplina,mesto,zaostanek
16-03-2016,St. Moritz,Downhill,10,14.12
13-03-2016,Lenzerheide,Alpine combined,18,41.74
12-03-2016,Lenzerheide,Super G,34,33.04
28-02-2016,Soldeu- El Tarter,Alpine combined,DNF2,
27-02-2016,Soldeu- El Tarter,Super G,17,29.39
21-02-2016,La Thuile,Super G,30,60.86
20-02-2016,La Thuile,Downhill,40,79.89
19-02-2016,La Thuile,Downhill,32,64.09
07-02-2016,Garmisch Partenkirchen,Super G,42,50.44
06-02-2016,Garmisch Partenkirchen,Downhill,32,57.17
24-01-2016,Cortina d'Ampezzo,Super G,38,56.40
23-01-2016,Cortina d'Ampezzo,Downhill,34,44.07
10-01-2016,Altenmarkt-Zauchensee,Super G,24,40.82
09-01-2016,Altenmarkt-Zauchensee,Downhill,7,24.30
19-12-2015,Val d'Is̬re,Downhill,22,21.89
18-12-2015,Val d'Is̬re,Alpine combined,5,13.37
06-12-2015,Lake Louise,Super G,18,33.43
05-12-2015,Lake Louise,Downhill,25,34.75
04-12-2015,Lake Louise,Downhill,4,13.12
08-03-2015,Garmisch Partenkirchen,Super G,8,21.84
07-03-2015,Garmisch Partenkirchen,Downhill,21,31.58
02-03-2015,Bansko,Super G,37,52.12
01-03-2015,Bansko,Alpine combined,4,13.15
25-01-2015,St.Moritz,Super G,23,39.94
24-01-2015,St.Moritz,Downhill,26,27.33
19-01-2015,Cortina d'Ampezzo,Super G,30,48.89
18-01-2015,Cortina d'Ampezzo,Downhill,DNF1,
16-01-2015,Cortina d'Ampezzo,Downhill,17,21.75
21-12-2014,Val d Isere,Super G,DNF1,
20-12-2014,Val d Isere,Downhill,41,41.28
07-12-2014,Lake Louise,Super G,15,24.36
06-12-2014,Lake Louise,Downhill,39,40.73
05-12-2014,Lake Louise,Downhill,37,27.71
02-03-2014,Crans Montana,Downhill,25,44.01
12-01-2014,Altenmarkt / Zauchensee,Super Combined,32,45.25
11-01-2014,Altenmarkt / Zauchensee,Downhill,48,58.40
21-12-2013,Val d'Isere,Downhill,40,39.84
07-12-2013,Lake Louise,Downhill,47,40.83
06-12-2013,Lake Louise,Downhill,51,50.06
29-11-2013,Beaver Creek,Downhill,46,64.67
02-03-2013,Garmisch-Partenkirchen,Downhill,40,54.00
01-03-2013,Garmisch-Partenkirchen,Super G,37,47.36
24-02-2013,Meribel,Super Combined,17,31.60
23-02-2013,Meribel,Downhill,37,33.40
20-01-2013,Cortina d'Ampezzo,Super G,44,64.55
19-01-2013,Cortina d'Ampezzo,Downhill,41,56.75
13-01-2013,St. Anton,Super G,DNF1,
12-01-2013,St. Anton,Downhill,46,44.06
14-12-2012,Val d'Isere,Downhill,37,58.06
08-12-2012,St. Moritz,Super G,51,77.69
07-12-2012,St. Moritz,Super Combined,19,31.64
02-12-2012,Lake Louise,Super G,39,46.40
01-12-2012,Lake Louise,Downhill,42,55.94
30-11-2012,Lake Louise,Downhill,27,44.16
26-02-2012,Bansko,Super G,37,57.30
18-02-2012,Sochi,Downhill,36,48.85
05-02-2012,Garmisch-Partenkirchen,Super G,33,38.71
04-02-2012,Garmisch-Partenkirchen,Downhill,36,47.56
29-01-2012,St. Moritz,Super Combined,36,60.46
28-01-2012,St. Moritz,Downhill,43,64.54
27-01-2012,St. Moritz,Super Combined,27,56.90
15-01-2012,Cortina d'Ampezzo,Super G,DNF1,
14-01-2012,Cortina d'Ampezzo,Downhill,29,36.12
08-01-2012,Bad Kleinkirchheim,Super G,39,42.98
07-01-2012,Bad Kleinkirchheim,Downhill,40,64.41
07-12-2011,Beaver Creek,Super G,31,48.44
04-12-2011,Lake Louise,Super G,42,45.72
03-12-2011,Lake Louise,Downhill,DNF1,
02-12-2011,Lake Louise,Downhill,44,50.41
06-03-2011,Tarvisio,Super G,47,49.79
05-03-2011,Tarvisio,Downhill,DNF1,
04-03-2011,Tarvisio,Super Combined,DNF1,
26-02-2011,Are,Downhill,33,55.35
25-02-2011,Are,Super Combined,26,42.14
23-01-2011,Cortina d Ampezzo,Super G,30,45.28
22-01-2011,Cortina d Ampezzo,Downhill,39,56.79
21-01-2011,Cortina d Ampezzo,Super G,29,28.25
09-01-2011,Zauchensee,Super G,18,27.51
08-01-2011,Zauchensee,Downhill,18,27.63
19-12-2010,Val d'Isere,Super Combined,17,26.79
18-12-2010,Val d'Isere,Downhill,17,23.87
05-12-2010,Lake Louise,Super G,32,51.87
03-12-2010,Lake Louise,Downhill,44,53.67
07-03-2010,Crans Montana,Super G,47,48.75
06-03-2010,Crans Montana,Downhill,33,31.32
29-01-2010,St. Moritz,Super Combined,22,30.55
18-12-2009,Val d'Isere,Super Combined,24,53.83
22-02-2009,Tarvisio,Super G,52,44.23
20-02-2009,Tarvisio,Super Combined,42,64.70
