datum,kraj,disciplina,mesto
24-01-2016,Kitzbuehel,Slalom,DNF1
17-01-2016,Wengen,Slalom,2
10-01-2016,Adelboden,Slalom,10
06-01-2016,Santa Caterina Valfurva,Slalom,DSQ2
22-12-2015,Madonna di Campiglio,Slalom,4
13-12-2015,Val d'Is̬re,Slalom,DSQ2
22-03-2015,Meribel,Slalom,2
15-03-2015,Kranjska Gora,Slalom,2
27-01-2015,Schladming,Slalom,6
25-01-2015,Kitzbuehel,Slalom,4
17-01-2015,Wengen,Slalom,DNF1
11-01-2015,Adelboden,Slalom,4
06-01-2015,Zagreb,Slalom,DNF1
22-12-2014,Madonna di Campiglio,Slalom,13
14-12-2014,Are,Slalom,23
16-11-2014,Levi,Slalom,12
09-03-2014,Kranjska Gora,Slalom,14
28-01-2014,Schladming,Slalom,13
24-01-2014,Kitzbuehel,Slalom,DNF1
19-01-2014,Wengen,Slalom,DNF1
12-01-2014,Adelboden,Slalom,15
06-01-2014,Bormio,Slalom,DNQ1
15-12-2013,Val d'Isere,Slalom,DNF1
17-11-2013,Levi,Slalom,21
17-03-2013,Lenzerheide,Slalom,11
10-03-2013,Kranjska Gora,Slalom,DNF2
27-01-2013,Kitzbuehel,Slalom,4
20-01-2013,Wengen,Slalom,7
13-01-2013,Adelboden,Slalom,12
06-01-2013,Zagreb,Slalom,DNF1
18-12-2012,Madonna di Campiglio,Slalom,DNF2
08-12-2012,Val d'Isere,Slalom,21
11-11-2012,Levi,Slalom,13
18-03-2012,Schladming,Slalom,DNF1
11-03-2012,Kranjska Gora,Slalom,15
19-02-2012,Bansko,Slalom,10
24-01-2012,Schladming,Slalom,14
22-01-2012,Kitzbuehel,Slalom,7
15-01-2012,Wengen,Slalom,16
08-01-2012,Adelboden,Slalom,DNF2
05-01-2012,Zagreb,Slalom,23
21-12-2011,Flachau,Slalom,DNF1
19-12-2011,Alta Badia,Slalom,2
08-12-2011,Beaver Creek,Slalom,26
19-03-2011,Lenzerheide,Slalom,1
06-03-2011,Kranjska Gora,Slalom,DNF1
27-02-2011,Bansko,Slalom,15
25-01-2011,Schladming,Slalom,DSQ1
23-01-2011,Kitzbuehel,Slalom,3
16-01-2011,Wengen,Slalom,12
09-01-2011,Adelboden,Slalom,DNF1
06-01-2011,Zagreb,Slalom,4
12-12-2010,Val d'Isere,Slalom,DNF1
14-11-2010,Levi,Slalom,DNF1
13-03-2010,Garmisch Partenkirchen,Slalom,DNF1
31-01-2010,Kranjska Gora,Slalom,DNF2
26-01-2010,Schladming,Slalom,15
24-01-2010,Kitzbuehel,Slalom,3
17-01-2010,Wengen,Slalom,23
10-01-2010,Adelboden,Slalom,DNF1
06-01-2010,Zagreb,Slalom,1
21-12-2009,Alta Badia,Slalom,6
15-11-2009,Levi,Slalom,DNF2
14-03-2009,Are,Slalom,DNF2
01-03-2009,Kranjska Gora,Slalom,2
01-02-2009,Garmisch Partenkirchen,Slalom,8
27-01-2009,Schladming,Slalom,12
25-01-2009,Kitzbuehel,Slalom,DNF2
18-01-2009,Wengen,Slalom,DSQ1
11-01-2009,Adelboden,Slalom,DNF1
06-01-2009,Zagreb,Slalom,3
22-12-2008,Alta Badia,Slalom,DNF1
16-11-2008,Levi,Slalom,DNF1
09-03-2008,Kranjska Gora,Slalom,21
17-02-2008,Zagreb-Sljeme,Slalom,DNQ2
09-02-2008,Garmisch,Slalom,21
22-01-2008,Schladming,Slalom,DNF1
20-01-2008,Kitzbuehel,Slalom,26
12-01-2008,Wengen,Slalom,DNQ1
06-01-2008,Adelboden,Slalom,14
17-12-2007,La Villa - Alta Badia,Slalom,DNF2
09-12-2007,Bad Kleinkirchheim,Slalom,DNF2
11-11-2007,Reiteralm,Slalom,DNQ1
04-03-2007,Kranjska Gora,Slalom,DNF1
25-02-2007,Garmisch-Partenkirchen,Slalom,DNF2
30-01-2007,Schladming,Slalom,DNF1
28-01-2007,Kitzbuehel,Slalom,DNQ1
27-01-2007,Kitzbuehel,Slalom,24
07-01-2007,Adelboden,Slalom,DNQ1
18-12-2006,Alta Badia,Slalom,DNQ1
