datum,kraj,disciplina,mesto,zaostanek
26-01-2010,Schladming,Slalom,4,5.16
24-01-2010,Kitzbuehel,Combined,3,13.99
24-01-2010,Kitzbuehel,Slalom,4,6.78
23-01-2010,Kitzbuehel,Downhill,45,44.80
22-01-2010,Kitzbuehel,Super G,27,17.54
17-01-2010,Wengen,Slalom,4,4.19
15-01-2010,Wengen,Super Combined,4,5.65
10-01-2010,Adelboden,Slalom,4,4.40
06-01-2010,Zagreb,Slalom,11,8.78
21-12-2009,Alta Badia,Slalom,DNF2,
20-12-2009,Alta Badia,Giant Slalom,4,9.60
18-12-2009,Val Gardena - Groeden,Super G,9,10.78
13-12-2009,Val d'Isere,Giant Slalom,3,8.52
12-12-2009,Val d'Isere,Super G,5,15.35
11-12-2009,Val d'Isere,Super Combined,1,0.00
06-12-2009,Beaver Creek,Giant Slalom,2,2.77
04-12-2009,Beaver Creek,Super Combined,7,6.35
29-11-2009,Lake Louise,Super G,2,2.74
28-11-2009,Lake Louise,Downhill,57,38.41
15-11-2009,Levi,Slalom,6,5.36
25-10-2009,Soelden,Giant Slalom,5,9.02
14-03-2009,Are,Slalom,DNF1,
13-03-2009,Are,Giant Slalom,1,0.00
12-03-2009,Are,Super G,4,3.03
11-03-2009,Are,Downhill,13,16.37
07-03-2009,Kvitfjell,Downhill,DNF1,
06-03-2009,Kvitfjell,Downhill,29,25.02
01-03-2009,Kranjska Gora,Slalom,4,3.60
28-02-2009,Kranjska Gora,Giant Slalom,15,9.43
22-02-2009,Sestriere,Super Combined,9,11.23
21-02-2009,Sestriere,Giant Slalom,3,4.62
01-02-2009,Garmisch Partenkirchen,Slalom,13,13.21
27-01-2009,Schladming,Slalom,DNF2,
25-01-2009,Kitzbuehel,Combined,DNF2,
25-01-2009,Kitzbuehel,Slalom,DNF1,
24-01-2009,Kitzbuehel,Downhill,12,12.73
23-01-2009,Kitzbuehel,Super G,DNF1,
18-01-2009,Wengen,Slalom,5,5.56
16-01-2009,Wengen,Super Combined,7,8.93
11-01-2009,Adelboden,Slalom,11,4.25
10-01-2009,Adelboden,Giant Slalom,1,0.00
06-01-2009,Zagreb,Slalom,6,4.55
22-12-2008,Alta Badia,Slalom,3,4.81
21-12-2008,Alta Badia,Giant Slalom,7,3.28
19-12-2008,Val Gardena - Groeden,Super G,27,17.18
13-12-2008,Val d'Isere,Giant Slalom,DNF1,
12-12-2008,Val d'Isere,Super Combined,1,0.00
07-12-2008,Beaver Creek,Giant Slalom,1,0.00
06-12-2008,Beaver Creek,Super G,7,12.33
05-12-2008,Beaver Creek,Downhill,DNS1,
30-11-2008,Lake Louise,Super G,24,26.19
29-11-2008,Lake Louise,Downhill,40,26.79
16-11-2008,Levi,Slalom,DNF2,
26-10-2008,Soelden,Giant Slalom,4,8.43
15-03-2008,Bormio,Slalom,5,2.74
14-03-2008,Bormio,Giant Slalom,2,1.98
13-03-2008,Bormio,Super G,4,3.73
09-03-2008,Kranjska Gora,Slalom,DNF1,
