datum,kraj,disciplina,mesto,zaostanek
09-12-2007,Bad Kleinkirchheim,Slalom,21,17.50
08-12-2007,Bad Kleinkirchheim,Giant Slalom,DNQ1,
29-11-2007,"Beaver Creek, CO",Super Combined,DNS1,
11-11-2007,Reiteralm,Slalom,DNF1,
28-10-2007,Soelden,Giant Slalom,11,11.68
18-03-2007,Lenzerheide,Slalom,4,11.74
17-03-2007,Lenzerheide,Giant Slalom,5,5.99
15-03-2007,Lenzerheide,Super G,DNF1,
11-03-2007,Kvitfjell,Super G,38,29.55
09-03-2007,Kvitfjell,Super Combined,9,21.81
04-03-2007,Kranjska Gora,Slalom,7,12.36
03-03-2007,Kranjska Gora,Giant Slalom,DNF1,
25-02-2007,Garmisch-Partenkirchen,Slalom,7,10.59
30-01-2007,Schladming,Slalom,4,11.48
28-01-2007,Kitzbuehel,Slalom,4,2.58
27-01-2007,Kitzbuehel,Slalom,DNF2,
20-01-2007,Val d'Isere,Downhill,DNF1,
14-01-2007,Wengen,Super Combined,2,2.57
07-01-2007,Adelboden,Slalom,1,0.00
06-01-2007,Adelboden,Giant Slalom,DNF2,
21-12-2006,Hinterstoder,Giant Slalom,DNF1,
20-12-2006,Hinterstoder,Super G,16,20.67
18-12-2006,Alta Badia,Slalom,DNQ1,
17-12-2006,Alta Badia,Giant Slalom,24,14.55
10-12-2006,Reiteralm,Super Combined,18,19.16
03-12-2006,"Beaver Creek, CO",Slalom,DNF1,
02-12-2006,"Beaver Creek, CO",Giant Slalom,DNF1,
30-11-2006,"Beaver Creek, CO",Super Combined,2,1.50
12-11-2006,Levi,Slalom,DNF2,
11-03-2006,Shigakogen,Slalom,DNF1,
10-03-2006,Shigakogen,Slalom,DNF1,
05-03-2006,Yongpyong,Giant Slalom,23,6.47
04-03-2006,Yongpyong,Giant Slalom,DNF2,
03-02-2006,Chamonix,Super Combined,DNF,
24-01-2006,Schladming,Slalom,20,19.00
22-01-2006,Kitzbuehel,Slalom,DNF1,
15-01-2006,Wengen,Slalom,DNF1,
13-01-2006,Wengen,Super Combined,14,
08-01-2006,Adelboden,Slalom,16,19.12
07-01-2006,Adelboden,Giant Slalom,21,16.22
22-12-2005,Kranjska Gora,Slalom,DNQ1,
21-12-2005,Kranjska Gora,Giant Slalom,DNF1,
18-12-2005,Alta Badia,Giant Slalom,DNF2,
12-12-2005,Madonna di Campiglio,Slalom,DNF1,
11-12-2005,Val d'Isere,Super Combined,DNF,
10-12-2005,Val d'Isere,Downhill,55,49.99
03-12-2005,"Beaver Creek, CO",Giant Slalom,15,17.06
