datum,kraj,disciplina,mesto
21-12-2015,Alta Badia,Parallel Giant Slalom,22
20-12-2015,Alta Badia,Giant Slalom,27
12-12-2015,Val d'Is̬re,Giant Slalom,DNQ1
06-12-2015,Beaver Creek,Giant Slalom,28
25-10-2015,Soelden,Giant Slalom,DNQ1
14-03-2015,Kranjska Gora,Giant Slalom,DNQ1
10-01-2015,Adelboden,Giant Slalom,DNF1
21-12-2014,Alta Badia,Giant Slalom,DNF2
12-12-2014,Are,Giant Slalom,DNF1
26-10-2014,Soelden,Giant Slalom,DNQ1
08-03-2014,Kranjska Gora,Giant Slalom,DNF1
02-02-2014,St. Moritz,Giant Slalom,DNF1
