datum,kraj,disciplina,mesto,zaostanek
24-01-2009,Cortina d'Ampezzo,Downhill,1,0.00
18-01-2009,Altenmarkt-Zauchensee,Downhill,1,0.00
17-01-2009,Altenmarkt-Zauchensee,Super Combined,18,31.52
20-12-2008,St. Moritz,Super G,19,29.74
19-12-2008,St. Moritz,Super Combined,DNF1,
07-12-2008,Lake Louise,Super G,36,25.53
05-12-2008,Lake Louise,Downhill,10,19.32
09-03-2008,Crans-Montana,Super Combined,19,17.46
08-03-2008,Crans-Montana,Downhill,21,25.20
24-02-2008,"Whistler, BC",Super Combined,20,30.37
22-02-2008,"Whistler, BC",Downhill,21,21.54
10-02-2008,Sestriere,Super G,DNF1,
09-02-2008,Sestriere,Downhill,9,16.66
03-02-2008,St. Moritz,Super G,DNF1,
02-02-2008,St. Moritz,Downhill,29,31.43
21-01-2008,Cortina d'Ampezzo,Super G,28,28.23
20-01-2008,Cortina d'Ampezzo,Super G,37,29.09
19-01-2008,Cortina d'Ampezzo,Downhill,DNF1,
22-12-2007,St. Anton/Arlberg,Super Combined,DNF1,
21-12-2007,St. Anton/Arlberg,Downhill,17,24.80
16-12-2007,St. Moritz,Super G,28,24.29
15-12-2007,St. Moritz,Downhill,DNF1,
08-12-2007,"Aspen, CO",Downhill,12,21.66
01-12-2007,"Lake Louise, AB",Downhill,22,34.16
28-01-2007,San Sicario,Super G,45,38.77
27-01-2007,San Sicario,Downhill,6,21.76
20-01-2007,Cortina d'Ampezzo,Downhill,8,15.70
19-01-2007,Cortina d'Ampezzo,Super G,45,56.06
14-01-2007,Altenmarkt-Zauchensee,Super Combined,22,28.49
13-01-2007,Altenmarkt-Zauchensee,Downhill,2,3.91
20-12-2006,Val d'Isere,Downhill,9,33.87
19-12-2006,Val d'Isere,Downhill,9,26.88
02-12-2006,"Lake Louise, AB",Downhill,DNF1,
01-12-2006,"Lake Louise, AB",Downhill,37,35.90
02-12-2005,"Lake Louise, AB",Downhill,DNF1,
