datum,kraj,disciplina,mesto,zaostanek
28-11-2010,Aspen,Slalom,5,6.09
27-11-2010,Aspen,Giant Slalom,7,3.98
13-11-2010,Levi,Slalom,5,4.54
23-10-2010,Soelden,Giant Slalom,DNQ1,
24-10-2009,Soelden,Giant Slalom,DNF1,
14-03-2009,Are,Giant Slalom,16,18.33
13-03-2009,Are,Slalom,13,9.23
07-03-2009,Ofterschwang,Slalom,3,4.63
06-03-2009,Ofterschwang,Giant Slalom,19,17.15
04-01-2009,Zagreb,Slalom,DNS1,
29-12-2008,Semmering,Slalom,7,11.33
28-12-2008,Semmering,Giant Slalom,DNF2,
20-12-2008,St. Moritz,Super G,5,19.40
19-12-2008,St. Moritz,Super Combined,2,13.63
14-12-2008,La Molina,Slalom,9,17.10
13-12-2008,La Molina,Giant Slalom,3,4.18
07-12-2008,Lake Louise,Super G,14,12.31
05-12-2008,Lake Louise,Downhill,28,32.66
30-11-2008,Aspen,Slalom,2,1.39
29-11-2008,Aspen,Giant Slalom,DNF1,
15-11-2008,Levi,Slalom,4,5.33
25-10-2008,Soelden,Giant Slalom,28,50.71
15-03-2008,Bormio,Giant Slalom,11,7.83
14-03-2008,Bormio,Slalom,4,1.62
13-03-2008,Bormio,Super G,11,12.05
09-03-2008,Crans-Montana,Super Combined,8,8.90
08-03-2008,Crans-Montana,Downhill,27,31.34
24-02-2008,"Whistler, BC",Super Combined,4,2.54
22-02-2008,"Whistler, BC",Downhill,15,14.49
15-02-2008,Zagreb-Sljeme,Slalom,DNF2,
10-02-2008,Sestriere,Super G,14,13.85
09-02-2008,Sestriere,Downhill,23,27.72
03-02-2008,St. Moritz,Super G,6,5.46
02-02-2008,St. Moritz,Downhill,14,17.33
27-01-2008,Ofterschwang,Slalom,3,3.08
26-01-2008,Ofterschwang,Giant Slalom,2,0.49
21-01-2008,Cortina d'Ampezzo,Super G,DNF1,
20-01-2008,Cortina d'Ampezzo,Super G,3,3.41
13-01-2008,Maribor,Slalom,1,0.00
12-01-2008,Maribor,Giant Slalom,6,12.71
06-01-2008,Spindleruv Mlyn,Slalom,DNF2,
05-01-2008,Spindleruv Mlyn,Giant Slalom,5,5.91
29-12-2007,Lienz,Slalom,2,3.61
28-12-2007,Lienz,Giant Slalom,16,21.37
22-12-2007,St. Anton/Arlberg,Super Combined,DNF2,
21-12-2007,St. Anton/Arlberg,Downhill,6,10.42
16-12-2007,St. Moritz,Super G,6,3.71
15-12-2007,St. Moritz,Downhill,18,26.91
09-12-2007,"Aspen, CO",Slalom,1,0.00
08-12-2007,"Aspen, CO",Downhill,DNS1,
02-12-2007,"Lake Louise, AB",Super G,6,7.30
01-12-2007,"Lake Louise, AB",Downhill,11,26.58
25-11-2007,"Panorama, BC",Slalom,5,8.30
24-11-2007,"Panorama, BC",Giant Slalom,16,12.55
10-11-2007,Reiteralm,Slalom,2,0.32
27-10-2007,Soelden,Giant Slalom,12,7.07
18-03-2007,Lenzerheide,Giant Slalom,1,0.00
17-03-2007,Lenzerheide,Slalom,1,0.00
15-03-2007,Lenzerheide,Super G,5,15.68
14-03-2007,Lenzerheide,Downhill,6,17.62
11-03-2007,Zwiesel,Slalom,11,23.22
10-03-2007,Zwiesel,Giant Slalom,2,0.88
04-03-2007,Tarvisio,Super G,2,13.23
03-03-2007,Tarvisio,Downhill,17,18.57
02-03-2007,Tarvisio,Super Combined,1,0.00
25-02-2007,Sierra Nevada,Slalom,4,5.53
24-02-2007,Sierra Nevada,Giant Slalom,2,2.75
28-01-2007,San Sicario,Super G,24,22.07
26-01-2007,San Sicario,Super G,11,19.90
21-01-2007,Cortina d'Ampezzo,Giant Slalom,DNF1,
19-01-2007,Cortina d'Ampezzo,Super G,2,4.46
14-01-2007,Altenmarkt-Zauchensee,Super Combined,6,10.53
13-01-2007,Altenmarkt-Zauchensee,Downhill,23,33.70
07-01-2007,Kranjska Gora,Slalom,7,12.99
06-01-2007,Kranjska Gora,Giant Slalom,1,0.00
04-01-2007,Zagreb-Sljeme,Slalom,11,15.02
29-12-2006,Semmering,Slalom,DNF1,
28-12-2006,Semmering,Giant Slalom,2,0.68
21-12-2006,Val d'Isere,Slalom,11,10.17
20-12-2006,Val d'Isere,Downhill,16,40.20
19-12-2006,Val d'Isere,Downhill,36,42.98
16-12-2006,Reiteralm,Super G,2,9.39
15-12-2006,Reiteralm,Super Combined,4,9.80
03-12-2006,"Lake Louise, AB",Super G,7,16.18
02-12-2006,"Lake Louise, AB",Downhill,18,37.21
01-12-2006,"Lake Louise, AB",Downhill,8,13.34
26-11-2006,"Aspen, CO",Slalom,2,4.73
25-11-2006,"Aspen, CO",Giant Slalom,4,5.04
11-11-2006,Levi,Slalom,2,4.62
18-03-2006,Are,Giant Slalom,3,10.60
17-03-2006,Are,Slalom,DSQ2,
16-03-2006,Are,Super G,1,0.00
15-03-2006,Are,Downhill,4,5.93
11-03-2006,Levi,Slalom,3,6.92
10-03-2006,Levi,Slalom,DNF1,
05-03-2006,Hafjell/Kvitfjell,Giant Slalom,2,1.52
04-03-2006,Hafjell/Kvitfjell,Super Combined,6,
03-03-2006,Hafjell/Kvitfjell,Super G,16,9.35
05-02-2006,Ofterschwang,Slalom,DNF2,
04-02-2006,Ofterschwang,Giant Slalom,7,8.57
03-02-2006,Ofterschwang,Giant Slalom,4,7.23
29-01-2006,Cortina d'Ampezzo,Giant Slalom,1,0.00
27-01-2006,Cortina d'Ampezzo,Super G,DSQ1,
22-01-2006,St. Moritz,Super Combined,4,
21-01-2006,St. Moritz,Downhill,9,7.25
20-01-2006,St. Moritz,Super G,3,7.62
08-01-2006,Maribor,Slalom,5,7.31
05-01-2006,Zagreb-Sljeme,Slalom,4,8.55
29-12-2005,Lienz,Slalom,2,5.19
28-12-2005,Lienz,Giant Slalom,2,1.41
22-12-2005,Spindleruv Mlyn,Slalom,7,15.90
21-12-2005,Spindleruv Mlyn,Giant Slalom,4,1.17
11-12-2005,"Aspen, CO",Slalom,7,10.62
10-12-2005,"Aspen, CO",Giant Slalom,DNF2,
22-10-2005,Soelden,Giant Slalom,26,22.74
13-03-2005,Lenzerheide,Giant Slalom,3,3.17
12-03-2005,Lenzerheide,Slalom,3,6.06
27-02-2005,San Sicario,Combined,4,
20-02-2005,Are,Giant Slalom,2,4.05
