datum,kraj,disciplina,mesto,zaostanek
30-01-2011,Chamonix,Super Combined,30,50.34
29-01-2011,Chamonix,Downhill,10,15.99
23-01-2011,Kitzbuehel,Combined,DNS1,
22-01-2011,Kitzbuehel,Downhill,19,31.97
21-01-2011,Kitzbuehel,Super G,9,13.30
08-01-2011,Adelboden,Giant Slalom,14,3.83
19-12-2010,Alta Badia,Giant Slalom,DNQ1,
17-12-2010,Val Gardena-Groeden,Super G,DNF1,
11-12-2010,Val d'Isere,Giant Slalom,16,20.70
05-12-2010,Beaver Creek,Giant Slalom,DNQ1,
04-12-2010,Beaver Creek,Super G,13,12.22
28-11-2010,Lake Louise,Super G,23,16.99
12-03-2010,Garmisch Partenkirchen,Giant Slalom,DNF2,
11-03-2010,Garmisch Partenkirchen,Super G,4,10.80
07-03-2010,Kvitfjell,Super G,2,0.23
06-03-2010,Kvitfjell,Downhill,33,23.54
30-01-2010,Kranjska Gora,Giant Slalom,DNF1,
29-01-2010,Kranjska Gora,Giant Slalom,DNF1,
24-01-2010,Kitzbuehel,Combined,DNS1,
23-01-2010,Kitzbuehel,Downhill,43,43.75
22-01-2010,Kitzbuehel,Super G,8,8.30
20-12-2009,Alta Badia,Giant Slalom,14,20.68
18-12-2009,Val Gardena - Groeden,Super G,11,11.96
13-12-2009,Val d'Isere,Giant Slalom,DNF2,
12-12-2009,Val d'Isere,Super G,DNF1,
06-12-2009,Beaver Creek,Giant Slalom,6,7.83
29-11-2009,Lake Louise,Super G,DNF1,
25-10-2009,Soelden,Giant Slalom,18,20.34
13-03-2009,Are,Giant Slalom,14,11.15
12-03-2009,Are,Super G,12,16.61
28-02-2009,Kranjska Gora,Giant Slalom,12,8.62
21-02-2009,Sestriere,Giant Slalom,DNF1,
23-01-2009,Kitzbuehel,Super G,DNF1,
10-01-2009,Adelboden,Giant Slalom,DNF1,
21-12-2008,Alta Badia,Giant Slalom,3,1.90
19-12-2008,Val Gardena - Groeden,Super G,18,12.94
13-12-2008,Val d'Isere,Giant Slalom,9,6.60
12-12-2008,Val d'Isere,Super Combined,DNF1,
07-12-2008,Beaver Creek,Giant Slalom,DNF1,
06-12-2008,Beaver Creek,Super G,10,13.49
05-12-2008,Beaver Creek,Downhill,46,42.07
30-11-2008,Lake Louise,Super G,23,25.60
29-11-2008,Lake Louise,Downhill,37,24.83
26-10-2008,Soelden,Giant Slalom,DNF1,
