datum,kraj,disciplina,mesto
17-03-2016,St. Moritz,Super G,12
16-03-2016,St. Moritz,Downhill,5
13-03-2016,Lenzerheide,Alpine combined,8
12-03-2016,Lenzerheide,Super G,6
28-02-2016,Soldeu- El Tarter,Alpine combined,10
27-02-2016,Soldeu- El Tarter,Super G,6
21-02-2016,La Thuile,Super G,13
20-02-2016,La Thuile,Downhill,15
19-02-2016,La Thuile,Downhill,11
07-02-2016,Garmisch Partenkirchen,Super G,16
06-02-2016,Garmisch Partenkirchen,Downhill,23
24-01-2016,Cortina d'Ampezzo,Super G,DNF1
23-01-2016,Cortina d'Ampezzo,Downhill,5
10-01-2016,Altenmarkt-Zauchensee,Super G,9
09-01-2016,Altenmarkt-Zauchensee,Downhill,23
19-12-2015,Val d'Is̬re,Downhill,34
18-12-2015,Val d'Is̬re,Alpine combined,8
06-12-2015,Lake Louise,Super G,4
05-12-2015,Lake Louise,Downhill,DNF1
04-12-2015,Lake Louise,Downhill,17
18-03-2015,Meribel,Downhill,DNF1
08-03-2015,Garmisch Partenkirchen,Super G,23
07-03-2015,Garmisch Partenkirchen,Downhill,18
02-03-2015,Bansko,Super G,31
01-03-2015,Bansko,Alpine combined,15
25-01-2015,St.Moritz,Super G,24
24-01-2015,St.Moritz,Downhill,DNF1
19-01-2015,Cortina d'Ampezzo,Super G,DNF1
18-01-2015,Cortina d'Ampezzo,Downhill,7
16-01-2015,Cortina d'Ampezzo,Downhill,22
21-12-2014,Val d Isere,Super G,DNF1
20-12-2014,Val d Isere,Downhill,22
07-12-2014,Lake Louise,Super G,28
06-12-2014,Lake Louise,Downhill,34
05-12-2014,Lake Louise,Downhill,17
02-03-2014,Crans Montana,Downhill,DNF1
26-01-2014,Cortina d Ampezzo,Super G,DNF1
25-01-2014,Cortina d Ampezzo,Downhill,13
24-01-2014,Cortina d Ampezzo,Downhill,30
23-01-2014,Cortina d Ampezzo,Super G,DNF1
12-01-2014,Altenmarkt / Zauchensee,Super Combined,DNF1
11-01-2014,Altenmarkt / Zauchensee,Downhill,43
21-12-2013,Val d'Isere,Downhill,42
14-12-2013,St. Moritz,Super G,40
07-12-2013,Lake Louise,Downhill,19
06-12-2013,Lake Louise,Downhill,19
15-03-2012,Schladming,Super G,DNF1
14-03-2012,Schladming,Downhill,5
26-02-2012,Bansko,Super G,14
18-02-2012,Sochi,Downhill,11
05-02-2012,Garmisch-Partenkirchen,Super G,8
04-02-2012,Garmisch-Partenkirchen,Downhill,16
29-01-2012,St. Moritz,Super Combined,8
28-01-2012,St. Moritz,Downhill,13
27-01-2012,St. Moritz,Super Combined,DNF2
15-01-2012,Cortina d'Ampezzo,Super G,21
14-01-2012,Cortina d'Ampezzo,Downhill,16
08-01-2012,Bad Kleinkirchheim,Super G,DNF1
07-01-2012,Bad Kleinkirchheim,Downhill,19
07-12-2011,Beaver Creek,Super G,13
04-12-2011,Lake Louise,Super G,6
03-12-2011,Lake Louise,Downhill,22
02-12-2011,Lake Louise,Downhill,32
16-03-2011,Lenzerheide,Downhill,11
06-03-2011,Tarvisio,Super G,15
05-03-2011,Tarvisio,Downhill,32
04-03-2011,Tarvisio,Super Combined,7
27-02-2011,Are,Super G,7
26-02-2011,Are,Downhill,29
25-02-2011,Are,Super Combined,21
23-01-2011,Cortina d Ampezzo,Super G,19
22-01-2011,Cortina d Ampezzo,Downhill,15
21-01-2011,Cortina d Ampezzo,Super G,23
11-01-2011,Flachau,Slalom,DNF1
09-01-2011,Zauchensee,Super G,14
08-01-2011,Zauchensee,Downhill,19
19-12-2010,Val d'Isere,Super Combined,9
18-12-2010,Val d'Isere,Downhill,5
05-12-2010,Lake Louise,Super G,7
04-12-2010,Lake Louise,Downhill,28
03-12-2010,Lake Louise,Downhill,34
13-11-2010,Levi,Slalom,DNQ1
10-03-2010,Garmisch Partenkirchen,Downhill,6
07-03-2010,Crans Montana,Super G,11
06-03-2010,Crans Montana,Downhill,2
31-01-2010,St. Moritz,Super G,DNF1
30-01-2010,St. Moritz,Downhill,25
29-01-2010,St. Moritz,Super Combined,7
23-01-2010,Cortina d'Ampezzo,Downhill,24
22-01-2010,Cortina d'Ampezzo,Super G,29
17-01-2010,Maribor,Slalom,DNF1
16-01-2010,Maribor,Giant Slalom,DNQ1
10-01-2010,Haus im Ennstal,Super G,27
09-01-2010,Haus im Ennstal,Downhill,27
08-01-2010,Haus im Ennstal,Downhill,34
20-12-2009,Val d'Isere,Super G,40
18-12-2009,Val d'Isere,Super Combined,18
01-03-2009,Bansko,Super G,33
28-02-2009,Bansko,Downhill,33
27-02-2009,Bansko,Downhill,30
22-02-2009,Tarvisio,Super G,22
21-02-2009,Tarvisio,Downhill,40
20-02-2009,Tarvisio,Super Combined,6
01-02-2009,Garmisch Partenkirchen,Super G,36
26-01-2009,Cortina d'Ampezzo,Super G,42
24-01-2009,Cortina d'Ampezzo,Downhill,38
18-01-2009,Altenmarkt-Zauchensee,Downhill,43
17-01-2009,Altenmarkt-Zauchensee,Super Combined,23
20-12-2008,St. Moritz,Super G,42
19-12-2008,St. Moritz,Super Combined,16
14-12-2008,La Molina,Slalom,DSQ1
07-12-2008,Lake Louise,Super G,27
05-12-2008,Lake Louise,Downhill,39
15-11-2008,Levi,Slalom,DNQ1
09-03-2008,Crans-Montana,Super Combined,13
08-03-2008,Crans-Montana,Downhill,40
24-02-2008,"Whistler, BC",Super Combined,13
22-02-2008,"Whistler, BC",Downhill,34
10-02-2008,Sestriere,Super G,39
09-02-2008,Sestriere,Downhill,44
