datum,kraj,disciplina,mesto
20-03-2016,St. Moritz,Slalom,2
19-03-2016,St. Moritz,Giant Slalom,5
17-03-2016,St. Moritz,Super G,5
06-03-2016,Kranjska Gora,Slalom,1
05-03-2016,Kranjska Gora,Giant Slalom,1
04-03-2016,Kranjska Gora,Giant Slalom,3
28-02-2016,Hinterstoder,Giant Slalom,2
27-02-2016,Hinterstoder,Super G,3
26-02-2016,Hinterstoder,Giant Slalom,2
23-02-2016,Stockholm,City Event,1
14-02-2016,Yuzawa Naeba,Slalom,DNF1
13-02-2016,Yuzawa Naeba,Giant Slalom,6
07-02-2016,Jeongseon,Super G,7
26-01-2016,Schladming,Slalom,2
24-01-2016,Kitzbuehel,Slalom,2
22-01-2016,Kitzbuehel,Alpine combined,DSQ2
22-01-2016,Kitzbuehel,Super G,23
17-01-2016,Wengen,Slalom,DNF2
10-01-2016,Adelboden,Slalom,2
06-01-2016,Santa Caterina Valfurva,Slalom,1
22-12-2015,Madonna di Campiglio,Slalom,2
21-12-2015,Alta Badia,Parallel Giant Slalom,30
20-12-2015,Alta Badia,Giant Slalom,1
13-12-2015,Val d'Is̬re,Slalom,2
12-12-2015,Val d'Is̬re,Giant Slalom,1
06-12-2015,Beaver Creek,Giant Slalom,1
05-12-2015,Beaver Creek,Super G,1
25-10-2015,Soelden,Giant Slalom,3
22-03-2015,Meribel,Slalom,1
21-03-2015,Meribel,Giant Slalom,4
19-03-2015,Meribel,Super G,4
15-03-2015,Kranjska Gora,Slalom,6
14-03-2015,Kranjska Gora,Giant Slalom,2
01-03-2015,Garmisch Partenkirchen,Giant Slalom,1
22-02-2015,Saalbach,Super G,17
27-01-2015,Schladming,Slalom,14
25-01-2015,Kitzbuehel,Slalom,2
23-01-2015,Kitzbuehel,Alpine combined,2
23-01-2015,Kitzbuehel,Super G,44
17-01-2015,Wengen,Slalom,DNF1
11-01-2015,Adelboden,Slalom,3
10-01-2015,Adelboden,Giant Slalom,1
06-01-2015,Zagreb,Slalom,1
22-12-2014,Madonna di Campiglio,Slalom,7
21-12-2014,Alta Badia,Giant Slalom,1
14-12-2014,Are,Slalom,1
12-12-2014,Are,Giant Slalom,1
07-12-2014,Beaver Creek,Giant Slalom,3
06-12-2014,Beaver Creek,Super G,DNF1
16-11-2014,Levi,Slalom,2
26-10-2014,Soelden,Giant Slalom,1
16-03-2014,Lenzerheide,Slalom,1
15-03-2014,Lenzerheide,Giant Slalom,4
13-03-2014,Lenzerheide,Super G,12
09-03-2014,Kranjska Gora,Slalom,5
08-03-2014,Kranjska Gora,Giant Slalom,4
02-02-2014,St. Moritz,Giant Slalom,2
28-01-2014,Schladming,Slalom,2
26-01-2014,Kitzbuehel,Super G,56
26-01-2014,Kitzbuehel,Super Combined,3
24-01-2014,Kitzbuehel,Slalom,23
19-01-2014,Wengen,Slalom,3
12-01-2014,Adelboden,Slalom,1
11-01-2014,Adelboden,Giant Slalom,3
06-01-2014,Bormio,Slalom,2
22-12-2013,Alta Badia,Giant Slalom,1
15-12-2013,Val d'Isere,Slalom,DNQ1
14-12-2013,Val d'Isere,Giant Slalom,1
08-12-2013,Beaver Creek,Giant Slalom,3
07-12-2013,Beaver Creek,Super G,16
17-11-2013,Levi,Slalom,1
27-10-2013,Soelden,Giant Slalom,3
17-03-2013,Lenzerheide,Slalom,2
16-03-2013,Lenzerheide,Giant Slalom,2
10-03-2013,Kranjska Gora,Slalom,2
09-03-2013,Kranjska Gora,Giant Slalom,2
24-02-2013,Garmisch-Partenkirchen,Giant Slalom,2
29-01-2013,City Event Moscow,City Event,1
27-01-2013,Kitzbuehel,Slalom,1
20-01-2013,Wengen,Slalom,2
13-01-2013,Adelboden,Slalom,1
12-01-2013,Adelboden,Giant Slalom,16
06-01-2013,Zagreb,Slalom,1
01-01-2013,City Event Munich,City Event,2
18-12-2012,Madonna di Campiglio,Slalom,1
16-12-2012,Alta Badia,Giant Slalom,2
09-12-2012,Val d'Isere,Giant Slalom,1
08-12-2012,Val d'Isere,Slalom,3
02-12-2012,Beaver Creek,Giant Slalom,2
01-12-2012,Beaver Creek,Super G,32
11-11-2012,Levi,Slalom,2
28-10-2012,Soelden,Giant Slalom,3
18-03-2012,Schladming,Slalom,DNF1
17-03-2012,Schladming,Giant Slalom,1
15-03-2012,Schladming,Super G,3
11-03-2012,Kranjska Gora,Slalom,DNF1
10-03-2012,Kranjska Gora,Giant Slalom,3
26-02-2012,Crans Montana,Giant Slalom,2
24-02-2012,Crans Montana,Super G,34
21-02-2012,Moscow,City Event,5
19-02-2012,Bansko,Slalom,1
18-02-2012,Bansko,Giant Slalom,1
24-01-2012,Schladming,Slalom,1
22-01-2012,Kitzbuehel,Slalom,DSQ2
15-01-2012,Wengen,Slalom,DSQ1
08-01-2012,Adelboden,Slalom,1
07-01-2012,Adelboden,Giant Slalom,1
05-01-2012,Zagreb,Slalom,1
21-12-2011,Flachau,Slalom,DNF2
19-12-2011,Alta Badia,Slalom,1
18-12-2011,Alta Badia,Giant Slalom,5
08-12-2011,Beaver Creek,Slalom,3
06-12-2011,Beaver Creek,Giant Slalom,2
04-12-2011,Beaver Creek,Giant Slalom,1
23-10-2011,Soelden,Giant Slalom,6
06-02-2011,Hinterstoder,Giant Slalom,DNF1
25-01-2011,Schladming,Slalom,DSQ2
23-01-2011,Kitzbuehel,Slalom,4
16-01-2011,Wengen,Slalom,2
09-01-2011,Adelboden,Slalom,2
08-01-2011,Adelboden,Giant Slalom,16
06-01-2011,Zagreb,Slalom,15
02-01-2011,Muenchen,City Event,9
19-12-2010,Alta Badia,Giant Slalom,18
