datum,kraj,disciplina,mesto
06-03-2016,Kranjska Gora,Slalom,23
14-02-2016,Yuzawa Naeba,Slalom,17
26-01-2016,Schladming,Slalom,17
24-01-2016,Kitzbuehel,Slalom,DNF1
17-01-2016,Wengen,Slalom,DNQ1
10-01-2016,Adelboden,Slalom,7
06-01-2016,Santa Caterina Valfurva,Slalom,DNF1
22-12-2015,Madonna di Campiglio,Slalom,DNF1
13-12-2015,Val d'Is̬re,Slalom,19
15-03-2015,Kranjska Gora,Slalom,DNF1
27-01-2015,Schladming,Slalom,DNQ1
25-01-2015,Kitzbuehel,Slalom,22
17-01-2015,Wengen,Slalom,DNQ1
11-01-2015,Adelboden,Slalom,DNQ1
06-01-2015,Zagreb,Slalom,DNQ1
22-12-2014,Madonna di Campiglio,Slalom,DNQ1
14-12-2014,Are,Slalom,19
16-11-2014,Levi,Slalom,23
26-10-2014,Soelden,Giant Slalom,DNQ1
09-03-2014,Kranjska Gora,Slalom,24
28-01-2014,Schladming,Slalom,DNQ1
24-01-2014,Kitzbuehel,Slalom,21
19-01-2014,Wengen,Slalom,27
12-01-2014,Adelboden,Slalom,DNQ1
06-01-2014,Bormio,Slalom,DNQ1
15-12-2013,Val d'Isere,Slalom,DNQ1
17-11-2013,Levi,Slalom,DNQ1
10-03-2013,Kranjska Gora,Slalom,DNQ1
27-01-2013,Kitzbuehel,Slalom,DNQ1
20-01-2013,Wengen,Slalom,21
13-01-2013,Adelboden,Slalom,22
06-01-2013,Zagreb,Slalom,DNF1
18-12-2012,Madonna di Campiglio,Slalom,DNQ1
08-12-2012,Val d'Isere,Slalom,DNQ1
11-11-2012,Levi,Slalom,DNQ1
