datum,kraj,disciplina,mesto,zaostanek
13-03-2016,Lenzerheide,Alpine combined,4,4.92
12-03-2016,Lenzerheide,Super G,14,21.30
06-03-2016,Jasna,Slalom,21,37.37
28-02-2016,Soldeu- El Tarter,Alpine combined,12,20.41
27-02-2016,Soldeu- El Tarter,Super G,40,53.69
21-02-2016,La Thuile,Super G,26,58.63
20-02-2016,La Thuile,Downhill,31,51.44
19-02-2016,La Thuile,Downhill,34,71.68
15-02-2016,Crans Montana,Slalom,DNQ1,
07-02-2016,Garmisch Partenkirchen,Super G,DNF1,
06-02-2016,Garmisch Partenkirchen,Downhill,19,44.89
24-01-2016,Cortina d'Ampezzo,Super G,DNF1,
23-01-2016,Cortina d'Ampezzo,Downhill,25,37.11
15-01-2016,Flachau,Slalom,23,21.67
12-01-2016,Flachau,Slalom,DNF1,
05-01-2016,Santa Caterina Valfurva,Slalom,25,35.25
29-12-2015,Lienz,Slalom,25,27.05
19-12-2015,Val d'Is̬re,Downhill,26,25.60
18-12-2015,Val d'Is̬re,Alpine combined,DNF2,
13-12-2015,Are,Slalom,19,24.79
06-12-2015,Lake Louise,Super G,31,46.16
05-12-2015,Lake Louise,Downhill,DNF1,
04-12-2015,Lake Louise,Downhill,29,36.65
29-11-2015,"Aspen, CO",Slalom,22,37.01
28-11-2015,"Aspen, CO",Slalom,22,45.88
14-03-2015,Are,Slalom,18,23.07
02-03-2015,Bansko,Super G,46,74.57
01-03-2015,Bansko,Alpine combined,11,22.53
22-02-2015,Maribor,Slalom,DNQ1,
25-01-2015,St.Moritz,Super G,DSQ1,
24-01-2015,St.Moritz,Downhill,53,59.48
18-01-2015,Cortina d'Ampezzo,Downhill,DNF1,
16-01-2015,Cortina d'Ampezzo,Downhill,46,63.64
13-01-2015,Flachau,Slalom,DNQ1,
04-01-2015,Zagreb,Slalom,DNQ1,
29-12-2014,Kuehtai in Tirol,Slalom,22,26.88
21-12-2014,Val d Isere,Super G,DNF1,
20-12-2014,Val d Isere,Downhill,32,33.38
13-12-2014,Are,Slalom,25,26.95
30-11-2014,Aspen,Slalom,DNF1,
15-11-2014,Levi,Slalom,21,17.95
15-03-2014,Lenzerheide,Slalom,12,19.76
08-03-2014,Are,Slalom,15,25.55
02-03-2014,Crans Montana,Downhill,DNF1,
02-02-2014,Kranjska Gora,Slalom,12,5.12
26-01-2014,Cortina d Ampezzo,Super G,DNS1,
25-01-2014,Cortina d Ampezzo,Downhill,43,43.71
24-01-2014,Cortina d Ampezzo,Downhill,DNF1,
23-01-2014,Cortina d Ampezzo,Super G,35,35.90
14-01-2014,Flachau,Slalom,25,26.54
12-01-2014,Altenmarkt / Zauchensee,Super Combined,10,11.16
05-01-2014,Bormio,Slalom,15,8.75
29-12-2013,Lienz,Slalom,21,18.71
17-12-2013,Courchevel,Slalom,19,20.28
29-11-2013,Beaver Creek,Downhill,47,65.08
16-11-2013,Levi,Slalom,10,11.58
18-02-2012,Sochi,Downhill,29,43.98
12-02-2012,Soldeu-Grandvalira,Giant Slalom,DNQ1,
11-02-2012,Soldeu-Grandvalira,Slalom,17,20.24
29-01-2012,St. Moritz,Super Combined,12,18.74
28-01-2012,St. Moritz,Downhill,32,46.84
27-01-2012,St. Moritz,Super Combined,6,16.99
