datum,kraj,disciplina,mesto
09-12-2007,"Aspen, CO",Slalom,DNF1
25-11-2007,"Panorama, BC",Slalom,15
24-11-2007,"Panorama, BC",Giant Slalom,3
10-11-2007,Reiteralm,Slalom,14
27-10-2007,Soelden,Giant Slalom,9
18-03-2007,Lenzerheide,Giant Slalom,4
17-03-2007,Lenzerheide,Slalom,DNF1
11-03-2007,Zwiesel,Slalom,DNQ1
10-03-2007,Zwiesel,Giant Slalom,14
25-02-2007,Sierra Nevada,Slalom,16
24-02-2007,Sierra Nevada,Giant Slalom,8
21-01-2007,Cortina d'Ampezzo,Giant Slalom,10
07-01-2007,Kranjska Gora,Slalom,13
06-01-2007,Kranjska Gora,Giant Slalom,10
04-01-2007,Zagreb-Sljeme,Slalom,10
29-12-2006,Semmering,Slalom,17
28-12-2006,Semmering,Giant Slalom,12
21-12-2006,Val d'Isere,Slalom,17
15-12-2006,Reiteralm,Super Combined,34
03-12-2006,"Lake Louise, AB",Super G,40
02-12-2006,"Lake Louise, AB",Downhill,56
01-12-2006,"Lake Louise, AB",Downhill,58
26-11-2006,"Aspen, CO",Slalom,14
25-11-2006,"Aspen, CO",Giant Slalom,10
11-11-2006,Levi,Slalom,24
18-03-2006,Are,Giant Slalom,5
11-03-2006,Levi,Slalom,24
10-03-2006,Levi,Slalom,17
05-03-2006,Hafjell/Kvitfjell,Giant Slalom,DNF2
04-03-2006,Hafjell/Kvitfjell,Super Combined,20
03-03-2006,Hafjell/Kvitfjell,Super G,46
05-02-2006,Ofterschwang,Slalom,DNF1
04-02-2006,Ofterschwang,Giant Slalom,26
03-02-2006,Ofterschwang,Giant Slalom,DNQ1
29-01-2006,Cortina d'Ampezzo,Giant Slalom,12
08-01-2006,Maribor,Slalom,DNF2
05-01-2006,Zagreb-Sljeme,Slalom,18
29-12-2005,Lienz,Slalom,DNF2
28-12-2005,Lienz,Giant Slalom,8
22-12-2005,Spindleruv Mlyn,Slalom,24
21-12-2005,Spindleruv Mlyn,Giant Slalom,20
11-12-2005,"Aspen, CO",Slalom,21
10-12-2005,"Aspen, CO",Giant Slalom,DNQ2
22-10-2005,Soelden,Giant Slalom,18
13-03-2005,Lenzerheide,Giant Slalom,25
12-03-2005,Lenzerheide,Slalom,DSQ1
20-02-2005,Are,Giant Slalom,29
23-01-2005,Maribor,Slalom,25
22-01-2005,Maribor,Giant Slalom,19
20-01-2005,Zagreb-Sljeme,Slalom,14
14-01-2005,Cortina d'Ampezzo,Super G,31
12-01-2005,Cortina d'Ampezzo,Super G,38
09-01-2005,Santa Caterina,Slalom,28
08-01-2005,Santa Caterina,Giant Slalom,17
29-12-2004,Semmering,Slalom,DNF2
28-12-2004,Semmering,Giant Slalom,8
22-12-2004,St. Moritz,Giant Slalom,23
12-12-2004,Altenmarkt-Zauchensee,Slalom,23
28-11-2004,"Aspen, CO",Slalom,2
27-11-2004,"Aspen, CO",Slalom,13
26-11-2004,"Aspen, CO",Giant Slalom,DNF1
23-10-2004,Soelden,Giant Slalom,DNF1
14-03-2004,Sestriere,Giant Slalom,DNF1
29-02-2004,Levi,Slalom,19
28-02-2004,Levi,Slalom,21
22-02-2004,Are,Giant Slalom,25
21-02-2004,Are,Super G,DNF1
08-02-2004,Zwiesel,Slalom,DNF1
07-02-2004,Zwiesel,Giant Slalom,22
25-01-2004,Maribor,Slalom,DNF1
24-01-2004,Maribor,Giant Slalom,DNQ1
05-01-2004,Megeve,Slalom,DNQ1
04-01-2004,Megeve,Super G,39
28-12-2003,Lienz,Slalom,DNF2
27-12-2003,Lienz,Giant Slalom,22
20-12-2003,St. Moritz,Downhill,54
17-12-2003,Madonna di Campiglio,Slalom,DNF1
16-12-2003,Madonna di Campiglio,Slalom,23
13-12-2003,Alta Badia,Giant Slalom,12
29-11-2003,"Park City, UT",Slalom,DNF2
28-11-2003,"Park City, UT",Giant Slalom,12
25-10-2003,Soelden,Giant Slalom,16
01-03-2003,Innsbruck,Downhill,DNF1
28-02-2003,Innsbruck,Super G,47
26-01-2003,Maribor,Slalom,20
25-01-2003,Maribor,Giant Slalom,31
19-01-2003,Cortina d'Ampezzo,Giant Slalom,21
17-01-2003,Cortina d'Ampezzo,Super G,33
15-01-2003,Cortina d'Ampezzo,Super G,33
05-01-2003,Bormio,Slalom,DNF1
04-01-2003,Bormio,Giant Slalom,12
29-12-2002,Semmering,Slalom,9
28-12-2002,Semmering,Giant Slalom,DNQ1
22-12-2002,Lenzerheide,Slalom,DNQ1
22-12-2002,Lenzerheide,Combined,11
21-12-2002,Lenzerheide,Downhill,48
15-12-2002,Sestriere,KO Slalom,25
13-12-2002,Val d'Isere,Super G,36
12-12-2002,Val d'Isere,Giant Slalom,DNF1
