id,ime,drzava,smuci
27657,JANSRUD  Kjetil,NOR,Head
37546,JAY MARCHAND-ARVIER  Marie,FRA,Rossignol
28054,JITLOFF  Tim,USA,Stoeckli
70230,JNGLIN-KAMER  Nadja,SUI,Stoeckli
103405,JOHANSSON  Emil,SWE,Ni_podatka
173200,JOHNSON  Breezy,USA,Atomic
72161,KELLEY  Tim,USA,Fischer
25794,KHOROSHILOV  Alexander,RUS,Fischer
137380,KILDE  Aleksander Aamodt,NOR,Atomic
30631,KIRCHGASSER  Michaela,AUT,Atomic
126771,KLINE  Bostjan,SLO,Stoeckli
96883,KLING  Kajsa,SWE,Head
81085,KLOTZ  Siegmar,ITA,Nordica
137570,KOECK  Niklas,AUT,Atomic
156919,KOPP  Rahel,SUI,Rossignol
126772,KOSI  Klemen,SLO,Atomic
32043,KOSTELIC  Ivica,CRO,Fischer
137306,KRANJEC  Zan,SLO,Rossignol
126472,KRIECHMAYR  Vincent,AUT,Fischer
154950,KRISTOFFERSEN  Henrik,NOR,Rossignol
108339,KRIZOVA  Klara,CZE,Voelkl
126473,KROELL  Johannes,AUT,Salomon
32552,KROELL  Klaus,AUT,Salomon
156304,KRYENBUEHL  Urs,SUI,Stoeckli
70730,KRYZL  Krystof,CZE,Blizzard
125878,KUENG  Mirena,SUI,Head
32813,KUENG  Patrick,SUI,Salomon
78864,KUERNER  Miha,SLO,Ni_podatka
33505,LAHDENPERAE  Anton,SWE,Fischer
155901,LAPANJA  Lila,USA,Fischer
164017,LARROUY  Noemie,FRA,Salomon
34090,LARSSON  Markus,SWE,Rossignol
100671,LAVTAR  Katarina,SLO,Voelkl
163809,LEDECKA  Ester,CZE,Atomic
128896,LEITINGER  Roland,AUT,Fischer
35276,LIGETY  Ted,USA,Head
35380,LINDELL-VIKARBY  Jessica,SWE,Rossignol
119377,LINDH  Calle,SWE,Rossignol
35599,LIZEROUX  Julien,FRA,Fischer
108166,LOESETH  Nina,NOR,Voelkl
137452,LUITZ  Stefan,GER,Rossignol
119156,LYSDAHL  Espen,NOR,Rossignol
159261,MAIER  Sabrina,AUT,Voelkl
37327,MANCUSO  Julia,USA,Stoeckli
138503,MANI  Nils,SUI,Stoeckli
113774,MAPLE  Wiley,USA,Atomic
97732,MARMOTTAN  Anemone,FRA,Rossignol
138847,MARNO  Anna,USA,Stoeckli
118480,MARSAGLIA  Francesca,ITA,Voelkl
37873,MARSAGLIA  Matteo,ITA,Rossignol
135871,MASSIOS  Marie,FRA,Head
38570,MATT  Mario,AUT,Blizzard
149514,MATT  Michael,AUT,Rossignol
163838,MAURBERGER  Simon,ITA,Blizzard
117803,MAYER  Matthias,AUT,Head
38837,MAZE  Tina,SLO,Stoeckli
82305,MCJAMES  Megan,USA,Voelkl
104177,MCKENNIS  Alice,USA,Atomic
174158,MEILLARD  Loic,SUI,Rossignol
39732,MERIGHETTI  Daniela,ITA,Fischer
39778,MERMILLOD BLONDIN  Thomas,FRA,Rossignol
117927,MIELZYNSKI  Erin,CAN,Rossignol
170923,MIKLOS  Edit,HUN,Head
40317,MILLER  Bode,USA,Ni_podatka
154598,MIRADOLI  Romane,FRA,Dynastar
40565,MISSILLIER  Steve,FRA,Fischer
40870,MOELGG  Manfred,ITA,Fischer
40871,MOELGG  Manuela,ITA,Rossignol
155859,MOLTZAN  Paula,USA,Rossignol
94823,MOSER  Stefanie,AUT,Fischer
97742,MOUGEL  Laurie,FRA,Salomon
137399,MOWINCKEL  Ragnhild,NOR,Rossignol
108784,MUFFAT-JEANDET  Victor,FRA,Salomon
138572,MURISIER  Justin,SUI,Voelkl
120313,MUZATON  Maxence,FRA,Rossignol
42411,MYHRER  Andre,SWE,Head
96565,NANI  Roberto,ITA,Voelkl
128087,NETELAND  Bjoernar,NOR,Head
43238,NEUREUTHER  Felix,GER,Nordica
149812,NIEDERBERGER  Bernhard,SUI,Fischer
97745,NOENS  Nastasia,FRA,Salomon
43792,NOESIG  Christoph,AUT,Fischer
108223,NORDBOTTEN  Jonathan,NOR,Head
138602,NUFER  Priska,SUI,Dynastar
