datum,kraj,disciplina,mesto
20-03-2016,St. Moritz,Slalom,4
06-03-2016,Kranjska Gora,Slalom,DNF2
23-02-2016,Stockholm,City Event,5
14-02-2016,Yuzawa Naeba,Slalom,10
26-01-2016,Schladming,Slalom,12
24-01-2016,Kitzbuehel,Slalom,17
17-01-2016,Wengen,Slalom,DNF1
10-01-2016,Adelboden,Slalom,11
06-01-2016,Santa Caterina Valfurva,Slalom,7
22-12-2015,Madonna di Campiglio,Slalom,16
13-12-2015,Val d'Is̬re,Slalom,5
22-03-2015,Meribel,Slalom,20
15-03-2015,Kranjska Gora,Slalom,12
27-01-2015,Schladming,Slalom,21
25-01-2015,Kitzbuehel,Slalom,11
17-01-2015,Wengen,Slalom,11
11-01-2015,Adelboden,Slalom,9
06-01-2015,Zagreb,Slalom,DNF1
22-12-2014,Madonna di Campiglio,Slalom,15
14-12-2014,Are,Slalom,13
16-11-2014,Levi,Slalom,19
09-03-2014,Kranjska Gora,Slalom,21
28-01-2014,Schladming,Slalom,DNQ1
24-01-2014,Kitzbuehel,Slalom,DNF2
19-01-2014,Wengen,Slalom,21
12-01-2014,Adelboden,Slalom,DNQ1
06-01-2014,Bormio,Slalom,DSQ1
15-12-2013,Val d'Isere,Slalom,DNQ1
17-11-2013,Levi,Slalom,17
23-01-2011,Kitzbuehel,Slalom,DNQ1
09-01-2011,Adelboden,Slalom,DNF1
06-01-2011,Zagreb,Slalom,7
02-01-2011,Muenchen,City Event,2
12-12-2010,Val d'Isere,Slalom,DSQ1
14-11-2010,Levi,Slalom,10
13-03-2010,Garmisch Partenkirchen,Slalom,4
12-03-2010,Garmisch Partenkirchen,Giant Slalom,18
31-01-2010,Kranjska Gora,Slalom,3
26-01-2010,Schladming,Slalom,7
24-01-2010,Kitzbuehel,Combined,4
24-01-2010,Kitzbuehel,Slalom,2
23-01-2010,Kitzbuehel,Downhill,49
17-01-2010,Wengen,Slalom,5
15-01-2010,Wengen,Super Combined,DNF2
10-01-2010,Adelboden,Slalom,1
06-01-2010,Zagreb,Slalom,3
21-12-2009,Alta Badia,Slalom,7
20-12-2009,Alta Badia,Giant Slalom,DNQ1
13-12-2009,Val d'Isere,Giant Slalom,17
11-12-2009,Val d'Isere,Super Combined,25
06-12-2009,Beaver Creek,Giant Slalom,DNQ1
04-12-2009,Beaver Creek,Super Combined,8
15-11-2009,Levi,Slalom,5
25-10-2009,Soelden,Giant Slalom,DNQ1
14-03-2009,Are,Slalom,2
13-03-2009,Are,Giant Slalom,22
12-03-2009,Are,Super G,DNF1
01-03-2009,Kranjska Gora,Slalom,1
22-02-2009,Sestriere,Super Combined,2
01-02-2009,Garmisch Partenkirchen,Slalom,7
27-01-2009,Schladming,Slalom,DSQ1
25-01-2009,Kitzbuehel,Slalom,1
18-01-2009,Wengen,Slalom,13
16-01-2009,Wengen,Super Combined,5
11-01-2009,Adelboden,Slalom,17
06-01-2009,Zagreb,Slalom,9
22-12-2008,Alta Badia,Slalom,11
12-12-2008,Val d'Isere,Super Combined,17
07-12-2008,Beaver Creek,Giant Slalom,DNQ1
16-11-2008,Levi,Slalom,15
26-10-2008,Soelden,Giant Slalom,DNQ1
15-03-2008,Bormio,Slalom,6
14-03-2008,Bormio,Giant Slalom,17
09-03-2008,Kranjska Gora,Slalom,9
17-02-2008,Zagreb-Sljeme,Slalom,8
09-02-2008,Garmisch,Slalom,5
03-02-2008,Val d'Isere,Super Combined,9
27-01-2008,Chamonix,Super Combined,5
22-01-2008,Schladming,Slalom,6
20-01-2008,Kitzbuehel,Slalom,4
12-01-2008,Wengen,Slalom,6
11-01-2008,Wengen,Super Combined,15
06-01-2008,Adelboden,Slalom,7
17-12-2007,La Villa - Alta Badia,Slalom,9
09-12-2007,Bad Kleinkirchheim,Slalom,15
11-11-2007,Reiteralm,Slalom,8
18-03-2007,Lenzerheide,Slalom,19
04-03-2007,Kranjska Gora,Slalom,DNF2
25-02-2007,Garmisch-Partenkirchen,Slalom,18
30-01-2007,Schladming,Slalom,DNF1
28-01-2007,Kitzbuehel,Slalom,17
27-01-2007,Kitzbuehel,Slalom,DNQ1
07-01-2007,Adelboden,Slalom,12
18-12-2006,Alta Badia,Slalom,6
10-12-2006,Reiteralm,Super Combined,44
09-01-2005,Chamonix,Slalom,DNF1
05-12-2004,"Beaver Creek, CO",Slalom,DNQ1
29-02-2004,Kranjska Gora,Slalom,DNQ1
15-02-2004,St. Anton,Slalom,DNF1
08-02-2004,Adelboden,Slalom,DNQ1
18-01-2004,Wengen,Slalom,DNQ1
11-01-2004,Chamonix,Slalom,DNQ1
04-01-2004,Flachau,Slalom,DNF1
15-12-2003,Madonna di Campiglio,Slalom,DNQ1
23-11-2003,"Park City, UT",Slalom,DNQ1
08-03-2003,Shigakogen,Slalom,DNF1
02-03-2003,Yongpyong,Slalom,DNF1
28-01-2003,Schladming,Slalom,DNQ1
26-01-2003,Kitzbuehel,Slalom,DNQ1
19-01-2003,Wengen,Slalom,DNQ1
