datum,kraj,disciplina,mesto
10-11-2007,Reiteralm,Slalom,6
27-10-2007,Soelden,Giant Slalom,11
18-03-2007,Lenzerheide,Giant Slalom,14
17-03-2007,Lenzerheide,Slalom,DNF1
11-03-2007,Zwiesel,Slalom,DNF2
10-03-2007,Zwiesel,Giant Slalom,18
25-02-2007,Sierra Nevada,Slalom,14
24-02-2007,Sierra Nevada,Giant Slalom,20
21-01-2007,Cortina d'Ampezzo,Giant Slalom,15
07-01-2007,Kranjska Gora,Slalom,11
06-01-2007,Kranjska Gora,Giant Slalom,9
04-01-2007,Zagreb-Sljeme,Slalom,20
29-12-2006,Semmering,Slalom,6
28-12-2006,Semmering,Giant Slalom,15
21-12-2006,Val d'Isere,Slalom,DNF1
26-11-2006,"Aspen, CO",Slalom,12
25-11-2006,"Aspen, CO",Giant Slalom,5
11-11-2006,Levi,Slalom,9
18-03-2006,Are,Giant Slalom,DNF1
17-03-2006,Are,Slalom,6
11-03-2006,Levi,Slalom,17
10-03-2006,Levi,Slalom,11
05-02-2006,Ofterschwang,Slalom,DNF2
04-02-2006,Ofterschwang,Giant Slalom,6
03-02-2006,Ofterschwang,Giant Slalom,19
29-01-2006,Cortina d'Ampezzo,Giant Slalom,14
08-01-2006,Maribor,Slalom,8
05-01-2006,Zagreb-Sljeme,Slalom,DSQ1
29-12-2005,Lienz,Slalom,DNF1
28-12-2005,Lienz,Giant Slalom,16
22-12-2005,Spindleruv Mlyn,Slalom,18
21-12-2005,Spindleruv Mlyn,Giant Slalom,18
11-12-2005,"Aspen, CO",Slalom,12
10-12-2005,"Aspen, CO",Giant Slalom,14
22-10-2005,Soelden,Giant Slalom,23
20-02-2005,Are,Giant Slalom,10
23-01-2005,Maribor,Slalom,23
22-01-2005,Maribor,Giant Slalom,17
20-01-2005,Zagreb-Sljeme,Slalom,25
09-01-2005,Santa Caterina,Slalom,DNQ1
08-01-2005,Santa Caterina,Giant Slalom,DNQ1
22-12-2004,St. Moritz,Giant Slalom,DNQ2
12-12-2004,Altenmarkt-Zauchensee,Slalom,DNQ2
28-11-2004,"Aspen, CO",Slalom,DNF1
27-11-2004,"Aspen, CO",Slalom,17
26-11-2004,"Aspen, CO",Giant Slalom,DNQ1
23-10-2004,Soelden,Giant Slalom,16
22-02-2004,Are,Giant Slalom,15
24-01-2004,Maribor,Giant Slalom,DNQ1
13-12-2003,Alta Badia,Giant Slalom,DNQ1
25-10-2003,Soelden,Giant Slalom,DNQ1
26-10-2002,Soelden,Giant Slalom,DNQ1
