datum,kraj,disciplina,mesto
17-12-2005,Gardena/Groeden,Downhill,16
16-12-2005,Gardena/Groeden,Super G,30
11-12-2005,Val d'Isere,Super Combined,DNS
10-12-2005,Val d'Isere,Downhill,12
02-12-2005,"Beaver Creek, CO",Downhill,DNF1
01-12-2005,"Beaver Creek, CO",Super G,DNF1
27-11-2005,"Lake Louise, AB",Super G,DNF1
26-11-2005,"Lake Louise, AB",Downhill,38
06-03-2005,Kvitfjell,Super G,27
05-03-2005,Kvitfjell,Downhill,38
20-02-2005,Garmisch-Partenkirchen,Super G,37
19-02-2005,Garmisch-Partenkirchen,Downhill,29
18-02-2005,Garmisch-Partenkirchen,Downhill,20
15-01-2005,Wengen,Downhill,26
14-01-2005,Wengen,Combined,DSQ1
08-01-2005,Chamonix,Downhill,14
