datum,kraj,disciplina,mesto
13-03-2016,Lenzerheide,Alpine combined,24
12-03-2016,Lenzerheide,Super G,41
28-02-2016,Soldeu- El Tarter,Alpine combined,DNF2
27-02-2016,Soldeu- El Tarter,Super G,30
21-02-2016,La Thuile,Super G,23
20-02-2016,La Thuile,Downhill,25
19-02-2016,La Thuile,Downhill,27
07-02-2016,Garmisch Partenkirchen,Super G,30
24-01-2016,Cortina d'Ampezzo,Super G,33
23-01-2016,Cortina d'Ampezzo,Downhill,48
10-01-2016,Altenmarkt-Zauchensee,Super G,20
09-01-2016,Altenmarkt-Zauchensee,Downhill,21
19-12-2015,Val d'Is̬re,Downhill,44
18-12-2015,Val d'Is̬re,Alpine combined,23
06-12-2015,Lake Louise,Super G,38
05-12-2015,Lake Louise,Downhill,44
04-12-2015,Lake Louise,Downhill,47
