datum,kraj,disciplina,mesto,zaostanek
06-03-2016,Kranjska Gora,Slalom,DNQ1,
05-03-2016,Kranjska Gora,Giant Slalom,24,36.52
04-03-2016,Kranjska Gora,Giant Slalom,DNF1,
28-02-2016,Hinterstoder,Giant Slalom,18,21.35
26-02-2016,Hinterstoder,Giant Slalom,15,18.60
14-02-2016,Yuzawa Naeba,Slalom,DNQ1,
13-02-2016,Yuzawa Naeba,Giant Slalom,24,20.52
26-01-2016,Schladming,Slalom,DNF1,
24-01-2016,Kitzbuehel,Slalom,DNQ1,
22-01-2016,Kitzbuehel,Alpine combined,17,32.72
22-01-2016,Kitzbuehel,Super G,54,54.91
10-01-2016,Adelboden,Slalom,DNF1,
06-01-2016,Santa Caterina Valfurva,Slalom,DNF1,
22-12-2015,Madonna di Campiglio,Slalom,DNQ1,
20-12-2015,Alta Badia,Giant Slalom,DNF1,
13-12-2015,Val d'Is̬re,Slalom,DNQ1,
12-12-2015,Val d'Is̬re,Giant Slalom,13,20.14
06-12-2015,Beaver Creek,Giant Slalom,DNQ1,
25-10-2015,Soelden,Giant Slalom,12,22.34
21-03-2015,Meribel,Giant Slalom,18,17.91
15-03-2015,Kranjska Gora,Slalom,DNQ1,
14-03-2015,Kranjska Gora,Giant Slalom,20,26.43
01-03-2015,Garmisch Partenkirchen,Giant Slalom,DNF1,
27-01-2015,Schladming,Slalom,DNQ1,
25-01-2015,Kitzbuehel,Slalom,DNQ1,
17-01-2015,Wengen,Slalom,DNQ1,
11-01-2015,Adelboden,Slalom,DNF1,
10-01-2015,Adelboden,Giant Slalom,28,22.42
06-01-2015,Zagreb,Slalom,15,19.25
22-12-2014,Madonna di Campiglio,Slalom,DNQ1,
21-12-2014,Alta Badia,Giant Slalom,7,17.42
14-12-2014,Are,Slalom,DNQ1,
12-12-2014,Are,Giant Slalom,25,38.63
16-11-2014,Levi,Slalom,DNQ1,
26-10-2014,Soelden,Giant Slalom,DNF1,
08-03-2014,Kranjska Gora,Giant Slalom,DNQ1,
11-01-2014,Adelboden,Giant Slalom,DNQ1,
22-12-2013,Alta Badia,Giant Slalom,DNQ1,
27-10-2013,Soelden,Giant Slalom,DNQ1,
09-03-2013,Kranjska Gora,Giant Slalom,DNQ1,
06-01-2013,Zagreb,Slalom,DNF1,
28-10-2012,Soelden,Giant Slalom,DNQ1,
