datum,kraj,disciplina,mesto
26-02-2011,Bansko,Super Combined,18
06-02-2011,Hinterstoder,Giant Slalom,2
05-02-2011,Hinterstoder,Super G,16
30-01-2011,Chamonix,Super Combined,4
29-01-2011,Chamonix,Downhill,53
25-01-2011,Schladming,Slalom,DNF1
23-01-2011,Kitzbuehel,Slalom,DNQ1
23-01-2011,Kitzbuehel,Combined,4
22-01-2011,Kitzbuehel,Downhill,38
21-01-2011,Kitzbuehel,Super G,20
16-01-2011,Wengen,Slalom,20
15-01-2011,Wengen,Downhill,39
14-01-2011,Wengen,Super Combined,8
09-01-2011,Adelboden,Slalom,DNS1
08-01-2011,Adelboden,Giant Slalom,6
06-01-2011,Zagreb,Slalom,21
02-01-2011,Muenchen,City Event,9
19-12-2010,Alta Badia,Giant Slalom,17
17-12-2010,Val Gardena-Groeden,Super G,29
12-12-2010,Val d'Isere,Slalom,17
11-12-2010,Val d'Isere,Giant Slalom,10
05-12-2010,Beaver Creek,Giant Slalom,2
04-12-2010,Beaver Creek,Super G,14
28-11-2010,Lake Louise,Super G,34
27-11-2010,Lake Louise,Downhill,DNS1
14-11-2010,Levi,Slalom,DNQ1
12-03-2010,Garmisch Partenkirchen,Giant Slalom,6
07-03-2010,Kvitfjell,Super G,27
06-03-2010,Kvitfjell,Downhill,22
30-01-2010,Kranjska Gora,Giant Slalom,2
29-01-2010,Kranjska Gora,Giant Slalom,3
24-01-2010,Kitzbuehel,Combined,6
24-01-2010,Kitzbuehel,Slalom,DNQ1
23-01-2010,Kitzbuehel,Downhill,33
22-01-2010,Kitzbuehel,Super G,23
15-01-2010,Wengen,Super Combined,11
20-12-2009,Alta Badia,Giant Slalom,9
18-12-2009,Val Gardena - Groeden,Super G,26
13-12-2009,Val d'Isere,Giant Slalom,DNQ1
12-12-2009,Val d'Isere,Super G,16
11-12-2009,Val d'Isere,Super Combined,DNF1
06-12-2009,Beaver Creek,Giant Slalom,5
05-12-2009,Beaver Creek,Downhill,23
04-12-2009,Beaver Creek,Super Combined,11
29-11-2009,Lake Louise,Super G,26
28-11-2009,Lake Louise,Downhill,34
25-10-2009,Soelden,Giant Slalom,6
13-03-2009,Are,Giant Slalom,15
07-03-2009,Kvitfjell,Downhill,DNF1
06-03-2009,Kvitfjell,Downhill,37
28-02-2009,Kranjska Gora,Giant Slalom,13
22-02-2009,Sestriere,Super Combined,DNF2
21-02-2009,Sestriere,Giant Slalom,9
01-02-2009,Garmisch Partenkirchen,Slalom,DNF1
11-01-2009,Adelboden,Slalom,DNF1
10-01-2009,Adelboden,Giant Slalom,3
06-01-2009,Zagreb,Slalom,DNF1
22-12-2008,Alta Badia,Slalom,DNF1
21-12-2008,Alta Badia,Giant Slalom,17
19-12-2008,Val Gardena - Groeden,Super G,56
13-12-2008,Val d'Isere,Giant Slalom,DNF1
12-12-2008,Val d'Isere,Super Combined,DNF1
07-12-2008,Beaver Creek,Giant Slalom,4
06-12-2008,Beaver Creek,Super G,19
05-12-2008,Beaver Creek,Downhill,42
30-11-2008,Lake Louise,Super G,43
16-11-2008,Levi,Slalom,DNQ1
26-10-2008,Soelden,Giant Slalom,11
09-03-2008,Kranjska Gora,Slalom,DNQ2
08-03-2008,Kranjska Gora,Giant Slalom,DNQ2
02-03-2008,Kvitfjell,Super G,39
01-03-2008,Kvitfjell,Downhill,42
29-02-2008,Kvitfjell,Downhill,51
23-02-2008,"Whistler, BC",Giant Slalom,DNQ1
21-02-2008,"Whistler, BC",Super G,45
17-02-2008,Zagreb-Sljeme,Slalom,27
09-02-2008,Garmisch,Slalom,DNF1
22-01-2008,Schladming,Slalom,DNQ1
20-01-2008,Kitzbuehel,Slalom,DNQ2
12-01-2008,Wengen,Slalom,DNQ1
06-01-2008,Adelboden,Slalom,DNF1
05-01-2008,Adelboden,Giant Slalom,26
17-12-2007,La Villa - Alta Badia,Slalom,DSQ1
16-12-2007,La Villa - Alta Badia,Giant Slalom,DNF1
09-12-2007,Bad Kleinkirchheim,Slalom,20
08-12-2007,Bad Kleinkirchheim,Giant Slalom,22
02-12-2007,"Beaver Creek, CO",Giant Slalom,DNQ1
03-02-2006,Chamonix,Super Combined,26
24-01-2006,Schladming,Slalom,DNQ1
22-01-2006,Kitzbuehel,Slalom,DNQ1
15-01-2006,Wengen,Slalom,20
13-01-2006,Wengen,Super Combined,6
08-01-2006,Adelboden,Slalom,8
07-01-2006,Adelboden,Giant Slalom,DNF1
22-12-2005,Kranjska Gora,Slalom,13
21-12-2005,Kranjska Gora,Giant Slalom,DNF1
18-12-2005,Alta Badia,Giant Slalom,20
16-12-2005,Gardena/Groeden,Super G,43
12-12-2005,Madonna di Campiglio,Slalom,DNF2
04-12-2005,"Beaver Creek, CO",Slalom,4
03-12-2005,"Beaver Creek, CO",Giant Slalom,DNQ2
23-10-2005,Soelden,Giant Slalom,DNQ1
25-01-2005,Schladming,Slalom,DNS1
16-01-2005,Wengen,Slalom,DNF1
11-01-2005,Adelboden,Giant Slalom,21
09-01-2005,Chamonix,Slalom,DNQ2
22-12-2004,Flachau,Slalom,26
21-12-2004,Flachau,Giant Slalom,DNF1
19-12-2004,Alta Badia,Giant Slalom,19
12-12-2004,Val d'Isere,Giant Slalom,DNQ1
24-10-2004,Soelden,Giant Slalom,23
29-02-2004,Kranjska Gora,Slalom,DNQ1
28-02-2004,Kranjska Gora,Giant Slalom,DNQ1
27-01-2004,Schladming,Slalom,DNF1
25-01-2004,Kitzbuehel,Slalom,DNF1
18-01-2004,Wengen,Slalom,DNF1
04-01-2004,Flachau,Slalom,DNF1
03-01-2004,Flachau,Giant Slalom,29
21-12-2003,Alta Badia,Giant Slalom,DNQ1
15-12-2003,Madonna di Campiglio,Slalom,DNQ1
23-11-2003,"Park City, UT",Slalom,DNQ1
22-11-2003,"Park City, UT",Giant Slalom,DNQ1
26-10-2003,Soelden,Giant Slalom,DNQ1
19-01-2003,Wengen,Slalom,DNQ1
