datum,kraj,disciplina,mesto
27-01-2013,Kitzbuehel,Slalom,DNF1
27-01-2013,Kitzbuehel,Super Combined,DNF1
26-01-2013,Kitzbuehel,Downhill,24
25-01-2013,Kitzbuehel,Super G,DNF1
19-01-2013,Wengen,Downhill,33
18-01-2013,Wengen,Super Combined,DNF2
29-12-2012,Bormio,Downhill,34
16-12-2012,Alta Badia,Giant Slalom,DNQ1
15-12-2012,Val Gardena-Groeden,Downhill,39
14-12-2012,Val Gardena-Groeden,Super G,2
02-12-2012,Beaver Creek,Giant Slalom,DNF1
01-12-2012,Beaver Creek,Super G,1
30-11-2012,Beaver Creek,Downhill,44
25-11-2012,Lake Louise,Super G,9
24-11-2012,Lake Louise,Downhill,37
28-10-2012,Soelden,Giant Slalom,DNQ1
15-03-2012,Schladming,Super G,4
10-03-2012,Kranjska Gora,Giant Slalom,DNQ1
04-03-2012,Kvitfjell,Super G,25
03-03-2012,Kvitfjell,Downhill,34
02-03-2012,Kvitfjell,Super G,DNF1
26-02-2012,Crans Montana,Giant Slalom,DNQ1
25-02-2012,Crans Montana,Super G,12
24-02-2012,Crans Montana,Super G,22
12-02-2012,Sochi,Super Combined,4
11-02-2012,Sochi,Downhill,23
05-02-2012,Chamonix,Super Combined,DNF2
04-02-2012,Chamonix,Downhill,52
03-02-2012,Chamonix,Downhill,55
28-01-2012,Garmisch-Partenkirchen,Downhill,40
22-01-2012,Kitzbuehel,Super Combined,DNF1
22-01-2012,Kitzbuehel,Slalom,DNF1
21-01-2012,Kitzbuehel,Downhill,56
14-01-2012,Wengen,Downhill,33
13-01-2012,Wengen,Super Combined,10
29-12-2011,Bormio,Downhill,29
16-12-2011,Val Gardena-Groeden,Super G,23
03-12-2011,Beaver Creek,Super G,11
02-12-2011,Beaver Creek,Downhill,46
27-11-2011,Lake Louise,Super G,42
26-11-2011,Lake Louise,Downhill,57
13-03-2011,Kvitfjell,Super G,29
12-03-2011,Kvitfjell,Downhill,7
11-03-2011,Kvitfjell,Downhill,33
26-02-2011,Bansko,Super Combined,27
05-02-2011,Hinterstoder,Super G,24
30-01-2011,Chamonix,Super Combined,14
29-01-2011,Chamonix,Downhill,23
23-01-2011,Kitzbuehel,Slalom,DNQ1
23-01-2011,Kitzbuehel,Combined,9
22-01-2011,Kitzbuehel,Downhill,30
21-01-2011,Kitzbuehel,Super G,DNF1
15-01-2011,Wengen,Downhill,36
14-01-2011,Wengen,Super Combined,19
18-12-2010,Val Gardena-Groeden,Downhill,39
17-12-2010,Val Gardena-Groeden,Super G,25
04-12-2010,Beaver Creek,Super G,33
28-11-2010,Lake Louise,Super G,37
27-11-2010,Lake Louise,Downhill,46
15-01-2010,Wengen,Super Combined,DNS1
07-03-2009,Kvitfjell,Downhill,46
06-03-2009,Kvitfjell,Downhill,33
22-02-2009,Sestriere,Super Combined,32
25-01-2009,Kitzbuehel,Combined,DNF1
24-01-2009,Kitzbuehel,Downhill,DNF1
23-01-2009,Kitzbuehel,Super G,DNF1
28-12-2008,Bormio,Downhill,DNF1
20-12-2008,Val Gardena - Groeden,Downhill,54
19-12-2008,Val Gardena - Groeden,Super G,47
13-12-2008,Val d'Isere,Giant Slalom,DNQ1
12-12-2008,Val d'Isere,Super Combined,DNF1
07-12-2008,Beaver Creek,Giant Slalom,DNQ1
06-12-2008,Beaver Creek,Super G,DNF1
05-12-2008,Beaver Creek,Downhill,35
30-11-2008,Lake Louise,Super G,DSQ1
29-11-2008,Lake Louise,Downhill,53
02-03-2008,Kvitfjell,Super G,33
01-03-2008,Kvitfjell,Downhill,41
03-02-2008,Val d'Isere,Super Combined,16
