datum,kraj,disciplina,mesto
26-10-2008,Soelden,Giant Slalom,DNF1
15-03-2008,Bormio,Slalom,DNF1
14-03-2008,Bormio,Giant Slalom,10
13-03-2008,Bormio,Super G,2
08-03-2008,Kranjska Gora,Giant Slalom,12
02-03-2008,Kvitfjell,Super G,7
01-03-2008,Kvitfjell,Downhill,10
29-02-2008,Kvitfjell,Downhill,12
23-02-2008,"Whistler, BC",Giant Slalom,DSQ1
21-02-2008,"Whistler, BC",Super G,6
03-02-2008,Val d'Isere,Super Combined,12
27-01-2008,Chamonix,Super Combined,DNF2
26-01-2008,Chamonix,Downhill,25
20-01-2008,Kitzbuehel,Combined,DSQ1
20-01-2008,Kitzbuehel,Slalom,DSQ1
19-01-2008,Kitzbuehel,Downhill,7
18-01-2008,Kitzbuehel,Super G,14
13-01-2008,Wengen,Downhill,17
11-01-2008,Wengen,Super Combined,DNS2
05-01-2008,Adelboden,Giant Slalom,13
29-12-2007,Bormio,Downhill,6
16-12-2007,La Villa - Alta Badia,Giant Slalom,DNF1
15-12-2007,Val Gardena-Groeden,Downhill,12
14-12-2007,Val Gardena-Groeden,Super G,4
08-12-2007,Bad Kleinkirchheim,Giant Slalom,10
03-12-2007,"Beaver Creek, CO",Super G,22
02-12-2007,"Beaver Creek, CO",Giant Slalom,DNF1
30-11-2007,"Beaver Creek, CO",Downhill,4
29-11-2007,"Beaver Creek, CO",Super Combined,9
25-11-2007,"Lake Louise, AB",Super G,9
24-11-2007,"Lake Louise, AB",Downhill,22
28-10-2007,Soelden,Giant Slalom,18
18-03-2007,Lenzerheide,Slalom,21
17-03-2007,Lenzerheide,Giant Slalom,DSQ1
15-03-2007,Lenzerheide,Super G,14
14-03-2007,Lenzerheide,Downhill,18
11-03-2007,Kvitfjell,Super G,13
10-03-2007,Kvitfjell,Downhill,7
09-03-2007,Kvitfjell,Super Combined,10
03-03-2007,Kranjska Gora,Giant Slalom,DNF1
24-02-2007,Garmisch-Partenkirchen,Downhill,13
23-02-2007,Garmisch-Partenkirchen,Downhill,4
20-01-2007,Val d'Isere,Downhill,10
14-01-2007,Wengen,Super Combined,7
13-01-2007,Wengen,Downhill,54
06-01-2007,Adelboden,Giant Slalom,9
29-12-2006,Bormio,Downhill,22
28-12-2006,Bormio,Downhill,30
21-12-2006,Hinterstoder,Giant Slalom,9
20-12-2006,Hinterstoder,Super G,19
17-12-2006,Alta Badia,Giant Slalom,3
16-12-2006,Gardena/Groeden,Downhill,53
15-12-2006,Gardena/Groeden,Super G,17
10-12-2006,Reiteralm,Super Combined,DNF2
02-12-2006,"Beaver Creek, CO",Giant Slalom,5
01-12-2006,"Beaver Creek, CO",Downhill,21
30-11-2006,"Beaver Creek, CO",Super Combined,8
26-11-2006,"Lake Louise, AB",Super G,7
25-11-2006,"Lake Louise, AB",Downhill,25
18-03-2006,Are,Slalom,15
17-03-2006,Are,Giant Slalom,14
16-03-2006,Are,Super G,DNF1
15-03-2006,Are,Downhill,5
05-03-2006,Yongpyong,Giant Slalom,27
04-03-2006,Yongpyong,Giant Slalom,13
03-02-2006,Chamonix,Super Combined,4
29-01-2006,Garmisch-Partenkirchen,Super G,8
28-01-2006,Garmisch-Partenkirchen,Downhill,9
22-01-2006,Kitzbuehel,Combined,DSQ
22-01-2006,Kitzbuehel,Slalom,DSQ1
21-01-2006,Kitzbuehel,Downhill,6
20-01-2006,Kitzbuehel,Super G,21
14-01-2006,Wengen,Downhill,8
13-01-2006,Wengen,Super Combined,5
07-01-2006,Adelboden,Giant Slalom,DNF1
29-12-2005,Bormio,Downhill,8
